Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.008,0.389,-0.001,
0.033,-0.008,0.389,-0.001,
0.067,-0.008,0.389,-0.001,
0.1,-0.008,0.389,-0.001,
0.133,-0.008,0.389,-0.001,
0.167,-0.008,0.389,-0,
0.2,-0.008,0.389,-0,
0.233,-0.008,0.389,0,
0.267,-0.008,0.389,0,
0.3,-0.008,0.389,0,
0.333,-0.008,0.389,0,
0.367,-0.008,0.389,0.001,
0.4,-0.008,0.389,0.001,
0.433,-0.008,0.389,0.001,
0.467,-0.008,0.389,0.002,
0.5,-0.008,0.389,0.002,
0.533,-0.009,0.389,0.001,
0.567,-0.009,0.389,0.001,
0.6,-0.009,0.389,0.001,
0.633,-0.009,0.389,0.001,
0.667,-0.009,0.389,0.002,
0.7,-0.009,0.389,0.002,
0.733,-0.009,0.389,0.002,
0.767,-0.009,0.389,0.002,
0.8,-0.01,0.389,0.002,
0.833,-0.01,0.389,0.003,
0.867,-0.01,0.389,0.003,
0.9,-0.01,0.389,0.004,
0.933,-0.01,0.389,0.004,
0.967,-0.01,0.389,0.005,
1,-0.01,0.389,0.006,
1.033,-0.01,0.389,0.008,
1.067,-0.009,0.389,0.01,
1.1,-0.009,0.389,0.012,
1.133,-0.009,0.388,0.015,
1.167,-0.009,0.388,0.017,
1.2,-0.009,0.388,0.021,
1.233,-0.01,0.387,0.025,
1.267,-0.01,0.387,0.029,
1.3,-0.01,0.386,0.034,
1.333,-0.01,0.385,0.039,
1.367,-0.01,0.384,0.044,
1.4,-0.01,0.383,0.05,
1.433,-0.01,0.382,0.056,
1.467,-0.01,0.381,0.062,
1.5,-0.01,0.38,0.069,
1.533,-0.01,0.378,0.075,
1.567,-0.01,0.377,0.08,
1.6,-0.01,0.376,0.086,
1.633,-0.01,0.374,0.092,
1.667,-0.01,0.373,0.097,
1.7,-0.01,0.371,0.103,
1.733,-0.01,0.37,0.107,
1.767,-0.011,0.368,0.112,
1.8,-0.011,0.367,0.116,
1.833,-0.011,0.366,0.119,
1.867,-0.011,0.365,0.123,
1.9,-0.011,0.364,0.126,
1.933,-0.011,0.363,0.129,
1.967,-0.011,0.363,0.131,
2,-0.011,0.362,0.133,
2.033,-0.01,0.361,0.136,
2.067,-0.01,0.36,0.138,
2.1,-0.009,0.36,0.14,
2.133,-0.009,0.359,0.142,
2.167,-0.009,0.359,0.144,
2.2,-0.009,0.358,0.145,
2.233,-0.009,0.358,0.147,
2.267,-0.009,0.357,0.148,
2.3,-0.009,0.357,0.149,
2.333,-0.009,0.356,0.15,
2.367,-0.009,0.356,0.151,
2.4,-0.009,0.356,0.152,
2.433,-0.009,0.355,0.152,
2.467,-0.009,0.355,0.153,
2.5,-0.009,0.354,0.154,
2.533,-0.009,0.354,0.155,
2.567,-0.009,0.354,0.155,
2.6,-0.009,0.353,0.156,
2.633,-0.009,0.353,0.156,
2.667,-0.009,0.353,0.157,
2.7,-0.009,0.352,0.158,
2.733,-0.009,0.352,0.158,
2.767,-0.009,0.352,0.158,
2.8,-0.009,0.352,0.158,
2.833,-0.009,0.352,0.159,
2.867,-0.009,0.352,0.159,
2.9,-0.009,0.352,0.159,
2.933,-0.01,0.351,0.16,
2.967,-0.01,0.351,0.16,
3,-0.01,0.351,0.16,
3.033,-0.01,0.351,0.16,
3.067,-0.01,0.351,0.16,
3.1,-0.009,0.351,0.161,
3.133,-0.009,0.351,0.161,
3.167,-0.01,0.351,0.161,
3.2,-0.01,0.351,0.161,
3.233,-0.01,0.351,0.161,
3.267,-0.01,0.351,0.16,
3.3,-0.01,0.351,0.16,
3.333,-0.01,0.351,0.159,
3.367,-0.01,0.352,0.159,
3.4,-0.01,0.352,0.158,
3.433,-0.01,0.352,0.157,
3.467,-0.01,0.353,0.156,
3.5,-0.01,0.354,0.154,
3.533,-0.01,0.355,0.152,
3.567,-0.011,0.356,0.15,
3.6,-0.011,0.357,0.148,
3.633,-0.012,0.358,0.145,
3.667,-0.012,0.359,0.142,
3.7,-0.012,0.36,0.138,
3.733,-0.013,0.362,0.135,
3.767,-0.013,0.363,0.13,
3.8,-0.013,0.365,0.125,
3.833,-0.013,0.367,0.12,
3.867,-0.014,0.368,0.115,
3.9,-0.014,0.37,0.109,
3.933,-0.014,0.372,0.103,
3.967,-0.014,0.373,0.097,
4,-0.014,0.375,0.091,
4.033,-0.015,0.376,0.085,
4.067,-0.015,0.377,0.079,
4.1,-0.016,0.379,0.072,
4.133,-0.016,0.38,0.064,
4.167,-0.016,0.381,0.057,
4.2,-0.017,0.382,0.049,
4.233,-0.017,0.383,0.042,
4.267,-0.017,0.383,0.034,
4.3,-0.017,0.384,0.027,
4.333,-0.018,0.384,0.02,
4.367,-0.018,0.384,0.013,
4.4,-0.019,0.384,0.005,
4.433,-0.02,0.384,-0.002,
4.467,-0.021,0.384,-0.01,
4.5,-0.021,0.383,-0.017,
4.533,-0.022,0.383,-0.025,
4.567,-0.022,0.383,-0.032,
4.6,-0.022,0.382,-0.039,
4.633,-0.023,0.382,-0.046,
4.667,-0.024,0.381,-0.054,
4.7,-0.025,0.38,-0.061,
4.733,-0.026,0.378,-0.069,
4.767,-0.027,0.377,-0.078,
4.8,-0.027,0.375,-0.087,
