Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.567,-1.378,1.126,2.884,
5.6,-1.399,1.172,3.026,
5.633,-1.439,1.154,3.221,
5.667,-1.486,1.077,3.527,
5.7,-1.523,0.961,3.961,
5.733,-1.515,0.786,4.484,
5.767,-1.659,0.591,5.056,
5.8,-1.754,0.472,5.558,
5.833,-1.721,0.407,6.217,
5.867,-1.845,0.354,7.004,
5.9,-1.972,0.282,7.926,
5.933,-2.078,0.212,8.938,
5.967,-2.157,0.162,10.023,
6,-2.212,0.078,11.206,
6.033,-2.413,-0.062,12.464,
6.067,-2.579,-0.231,13.781,
6.1,-2.74,-0.402,15.153,
6.133,-2.897,-0.549,16.565,
6.167,-3.04,-0.722,17.998,
6.2,-3.183,-0.923,19.456,
6.233,-3.354,-1.184,21.019,
6.267,-3.572,-1.453,22.63,
6.3,-3.856,-1.655,24.172,
6.333,-4.179,-1.839,25.751,
6.367,-4.224,-1.985,27.201,
6.4,-4.117,-2.042,28.332,
6.433,-4.131,-1.937,29.366,
6.467,-4.06,-1.769,30.22,
6.5,-3.851,-1.605,30.857,
6.533,-3.672,-1.475,31.313,
6.567,-3.452,-1.386,31.515,
6.6,-3.172,-1.325,31.522,
6.633,-2.922,-1.318,31.41,
6.667,-2.717,-1.288,31.17,
6.7,-2.579,-1.267,30.933,
6.733,-2.528,-1.273,30.728,
6.767,-2.492,-1.33,30.48,
6.8,-2.489,-1.321,30.184,
6.833,-2.523,-1.279,29.892,
6.867,-2.564,-1.215,29.598,
6.9,-2.638,-1.134,29.301,
6.933,-2.618,-1.089,29.016,
6.967,-2.577,-1.07,28.793,
7,-2.507,-1.022,28.558,
7.033,-2.436,-0.92,28.267,
7.067,-2.396,-0.77,27.947,
7.1,-2.399,-0.579,27.643,
7.133,-2.423,-0.403,27.349,
7.167,-2.45,-0.242,27.036,
7.2,-2.474,-0.091,26.733,
7.233,-2.474,0.064,26.437,
7.267,-2.437,0.261,26.095,
7.3,-2.465,0.525,25.667,
7.333,-2.557,0.827,25.11,
7.367,-2.638,1.154,24.261,
7.4,-2.843,1.509,22.998,
7.433,-3.214,1.811,21.387,
7.467,-3.488,1.972,19.497,
7.5,-3.716,2.072,17.494,
7.533,-3.827,2.215,15.348,
7.567,-3.813,2.442,12.999,
7.6,-3.819,2.752,10.677,
7.633,-3.799,2.996,8.307,
7.667,-3.658,3.16,6.084,
7.7,-3.471,3.228,4.167,
7.733,-3.307,3.162,2.439,
7.767,-3.189,3.021,0.661,
7.8,-3.094,2.968,-1.14,
7.833,-3.088,2.965,-2.801,
7.867,-3.199,2.857,-4.402,
7.9,-3.218,2.806,-6.01,
7.933,-3.059,2.932,-7.485,
7.967,-2.788,3.237,-8.781,
8,-2.511,3.562,-9.857,
8.033,-2.265,3.775,-10.618,
8.067,-2.1,3.839,-11.17,
8.1,-1.955,3.786,-11.641,
8.133,-1.823,3.671,-12.008,
8.167,-1.833,3.555,-12.278,
8.2,-1.927,3.472,-12.447,
8.233,-2.065,3.436,-12.516,
8.267,-2.227,3.424,-12.484,
8.3,-2.353,3.424,-12.385,
8.333,-2.372,3.447,-12.226,
8.367,-2.401,3.458,-12.012,
8.4,-2.456,3.49,-11.87,
8.433,-2.439,3.538,-11.594,
8.467,-2.478,3.572,-11.295,
