Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.096,0.477,-0.012,
0.033,0.102,0.476,-0.012,
0.067,0.11,0.473,-0.013,
0.1,0.118,0.471,-0.014,
0.133,0.125,0.469,-0.015,
0.167,0.132,0.467,-0.015,
0.2,0.138,0.464,-0.016,
0.233,0.144,0.462,-0.016,
0.267,0.148,0.461,-0.015,
0.3,0.153,0.459,-0.015,
0.333,0.157,0.457,-0.016,
0.367,0.161,0.456,-0.016,
0.4,0.164,0.454,-0.018,
0.433,0.167,0.453,-0.019,
0.467,0.169,0.452,-0.02,
0.5,0.171,0.451,-0.022,
0.533,0.172,0.45,-0.023,
0.567,0.173,0.45,-0.024,
0.6,0.173,0.45,-0.025,
0.633,0.172,0.45,-0.026,
0.667,0.171,0.45,-0.027,
0.7,0.17,0.451,-0.028,
0.733,0.168,0.451,-0.03,
0.767,0.166,0.452,-0.032,
0.8,0.162,0.454,-0.033,
0.833,0.159,0.455,-0.034,
0.867,0.155,0.457,-0.036,
0.9,0.15,0.459,-0.036,
0.933,0.145,0.461,-0.037,
0.967,0.141,0.463,-0.036,
1,0.135,0.465,-0.035,
1.033,0.129,0.467,-0.035,
1.067,0.122,0.47,-0.035,
1.1,0.115,0.472,-0.035,
1.133,0.108,0.474,-0.035,
1.167,0.1,0.476,-0.034,
1.2,0.092,0.478,-0.034,
1.233,0.084,0.48,-0.034,
1.267,0.075,0.481,-0.034,
1.3,0.067,0.483,-0.035,
1.333,0.058,0.484,-0.034,
1.367,0.051,0.485,-0.034,
1.4,0.044,0.486,-0.033,
1.433,0.037,0.487,-0.032,
1.467,0.03,0.487,-0.031,
1.5,0.023,0.488,-0.029,
1.533,0.018,0.488,-0.029,
1.567,0.012,0.488,-0.028,
1.6,0.007,0.489,-0.028,
1.633,0.002,0.489,-0.028,
1.667,-0.001,0.489,-0.027,
1.7,-0.003,0.489,-0.026,
1.733,-0.003,0.489,-0.025,
1.767,-0.003,0.489,-0.024,
1.8,-0.002,0.489,-0.024,
1.833,-0.001,0.489,-0.024,
1.867,0,0.489,-0.023,
1.9,0.002,0.489,-0.023,
1.933,0.004,0.489,-0.022,
1.967,0.006,0.489,-0.021,
2,0.009,0.489,-0.021,
2.033,0.013,0.489,-0.021,
2.067,0.017,0.489,-0.021,
2.1,0.022,0.488,-0.021,
2.133,0.027,0.488,-0.021,
2.167,0.032,0.488,-0.022,
2.2,0.038,0.487,-0.023,
2.233,0.043,0.487,-0.023,
2.267,0.049,0.486,-0.022,
2.3,0.054,0.485,-0.022,
2.333,0.06,0.485,-0.022,
2.367,0.066,0.484,-0.021,
2.4,0.071,0.483,-0.021,
2.433,0.078,0.482,-0.021,
2.467,0.084,0.48,-0.021,
2.5,0.091,0.479,-0.021,
2.533,0.097,0.477,-0.021,
2.567,0.104,0.476,-0.02,
2.6,0.111,0.474,-0.02,
2.633,0.118,0.472,-0.02,
2.667,0.124,0.47,-0.02,
2.7,0.131,0.468,-0.02,
2.733,0.136,0.465,-0.02,
2.767,0.142,0.463,-0.021,
2.8,0.148,0.461,-0.022,
2.833,0.154,0.459,-0.022,
2.867,0.158,0.457,-0.022,
2.9,0.162,0.455,-0.022,
2.933,0.166,0.454,-0.022,
2.967,0.169,0.452,-0.021,
3,0.171,0.451,-0.02,
3.033,0.174,0.45,-0.02,
3.067,0.175,0.449,-0.02,
3.1,0.177,0.449,-0.02,
3.133,0.178,0.448,-0.02,
3.167,0.179,0.448,-0.02,
3.2,0.179,0.447,-0.02,
3.233,0.179,0.447,-0.02,
3.267,0.178,0.448,-0.02,
3.3,0.177,0.448,-0.021,
3.333,0.174,0.45,-0.021,
3.367,0.171,0.452,-0.021,
3.4,0.166,0.454,-0.02,
3.433,0.16,0.457,-0.019,
3.467,0.154,0.459,-0.019,
3.5,0.147,0.462,-0.018,
3.533,0.14,0.465,-0.018,
3.567,0.133,0.467,-0.018,
3.6,0.127,0.469,-0.019,
3.633,0.12,0.471,-0.02,
3.667,0.113,0.473,-0.021,
3.7,0.107,0.475,-0.021,
3.733,0.099,0.477,-0.021,
3.767,0.091,0.479,-0.02,
3.8,0.083,0.481,-0.02,
3.833,0.075,0.482,-0.019,
3.867,0.068,0.484,-0.019,
3.9,0.06,0.485,-0.02,
3.933,0.052,0.486,-0.02,
3.967,0.045,0.487,-0.02,
4,0.039,0.488,-0.02,
4.033,0.033,0.488,-0.02,
4.067,0.028,0.488,-0.021,
4.1,0.023,0.489,-0.021,
4.133,0.019,0.489,-0.021,
4.167,0.016,0.489,-0.021,
4.2,0.013,0.489,-0.021,
4.233,0.011,0.489,-0.021,
4.267,0.009,0.489,-0.021,
4.3,0.008,0.489,-0.021,
4.333,0.005,0.489,-0.022,
4.367,0.003,0.489,-0.023,
4.4,-0,0.489,-0.024,
4.433,-0.004,0.489,-0.025,
4.467,-0.009,0.489,-0.025,
4.5,-0.015,0.488,-0.025,
4.533,-0.021,0.488,-0.024,
4.567,-0.029,0.487,-0.023,
4.6,-0.037,0.487,-0.021,
4.633,-0.045,0.486,-0.02,
4.667,-0.053,0.485,-0.019,
4.7,-0.061,0.484,-0.018,
4.733,-0.069,0.482,-0.017,
4.767,-0.077,0.481,-0.016,
4.8,-0.085,0.479,-0.016,
4.833,-0.092,0.477,-0.016,
4.867,-0.099,0.475,-0.015,
4.9,-0.105,0.473,-0.014,
4.933,-0.112,0.471,-0.013,
4.967,-0.117,0.469,-0.012,
5,-0.122,0.468,-0.012,
5.033,-0.126,0.466,-0.011,
5.067,-0.13,0.465,-0.011,
5.1,-0.134,0.464,-0.011,
5.133,-0.137,0.463,-0.011,
5.167,-0.139,0.462,-0.011,
5.2,-0.141,0.461,-0.012,
5.233,-0.141,0.461,-0.012,
5.267,-0.141,0.461,-0.013,
5.3,-0.14,0.462,-0.013,
5.333,-0.137,0.463,-0.014,
5.367,-0.134,0.464,-0.015,
5.4,-0.13,0.466,-0.015,
5.433,-0.125,0.467,-0.017,
5.467,-0.12,0.469,-0.018,
5.5,-0.114,0.471,-0.02,
5.533,-0.107,0.474,-0.022,
5.567,-0.1,0.475,-0.025,
5.6,-0.093,0.477,-0.026,
5.633,-0.086,0.479,-0.029,
5.667,-0.078,0.481,-0.031,
5.7,-0.07,0.482,-0.034,
5.733,-0.063,0.483,-0.036,
5.767,-0.055,0.484,-0.038,
5.8,-0.047,0.485,-0.04,
5.833,-0.041,0.485,-0.041,
5.867,-0.035,0.486,-0.042,
5.9,-0.03,0.486,-0.042,
5.933,-0.025,0.487,-0.042,
5.967,-0.021,0.487,-0.041,
6,-0.017,0.487,-0.041,
6.033,-0.013,0.487,-0.04,
6.067,-0.009,0.488,-0.039,
6.1,-0.006,0.488,-0.038,
6.133,-0.003,0.488,-0.038,
6.167,0.001,0.488,-0.037,
6.2,0.003,0.488,-0.036,
6.233,0.006,0.488,-0.036,
6.267,0.007,0.488,-0.036,
6.3,0.009,0.488,-0.037,
6.333,0.01,0.488,-0.037,
6.367,0.011,0.488,-0.036,
6.4,0.012,0.488,-0.035,
6.433,0.013,0.488,-0.035,
6.467,0.014,0.488,-0.034,
6.5,0.014,0.488,-0.033,
6.533,0.013,0.488,-0.033,
6.567,0.013,0.488,-0.033,
6.6,0.011,0.488,-0.032,
6.633,0.01,0.488,-0.032,
6.667,0.008,0.488,-0.031,
6.7,0.006,0.488,-0.031,
6.733,0.003,0.488,-0.031,
6.767,0,0.488,-0.03,
6.8,-0.003,0.488,-0.03,
6.833,-0.007,0.488,-0.03,
6.867,-0.011,0.488,-0.03,
6.9,-0.015,0.488,-0.03,
6.933,-0.019,0.488,-0.03,
6.967,-0.024,0.488,-0.031,
7,-0.029,0.487,-0.031,
7.033,-0.034,0.487,-0.032,
7.067,-0.041,0.486,-0.032,
7.1,-0.048,0.485,-0.032,
7.133,-0.055,0.484,-0.031,
7.167,-0.062,0.483,-0.031,
7.2,-0.07,0.482,-0.03,
7.233,-0.077,0.481,-0.03,
7.267,-0.085,0.479,-0.029,
7.3,-0.092,0.477,-0.028,
7.333,-0.099,0.476,-0.027,
7.367,-0.106,0.474,-0.026,
7.4,-0.113,0.472,-0.024,
7.433,-0.119,0.47,-0.023,
7.467,-0.125,0.468,-0.021,
7.5,-0.13,0.466,-0.02,
7.533,-0.136,0.464,-0.018,
7.567,-0.142,0.462,-0.016,
7.6,-0.147,0.46,-0.014,
7.633,-0.151,0.458,-0.013,
7.667,-0.155,0.457,-0.011,
7.7,-0.158,0.456,-0.01,
7.733,-0.16,0.455,-0.009,
7.767,-0.161,0.454,-0.008,
7.8,-0.161,0.454,-0.007,
7.833,-0.161,0.454,-0.007,
7.867,-0.16,0.455,-0.007,
7.9,-0.157,0.456,-0.008,
7.933,-0.154,0.457,-0.009,
7.967,-0.15,0.459,-0.011,
8,-0.145,0.461,-0.014,
8.033,-0.139,0.463,-0.017,
8.067,-0.132,0.465,-0.021,
8.1,-0.125,0.468,-0.025,
8.133,-0.117,0.47,-0.029,
8.167,-0.109,0.472,-0.032,
8.2,-0.101,0.474,-0.034,
8.233,-0.093,0.476,-0.036,
8.267,-0.085,0.478,-0.038,
8.3,-0.077,0.48,-0.039,
8.333,-0.069,0.481,-0.041,
8.367,-0.061,0.483,-0.041,
8.4,-0.053,0.484,-0.04,
8.433,-0.044,0.485,-0.04,
8.467,-0.035,0.486,-0.04,
8.5,-0.026,0.487,-0.041,
8.533,-0.017,0.487,-0.042,
8.567,-0.009,0.487,-0.042,
8.6,-0.001,0.487,-0.042,
