Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.4,-5.205,28.456,5.753,
5.433,-4.931,27.294,5.402,
5.467,-4.643,26.002,4.942,
5.5,-4.212,24.597,4.385,
5.533,-3.87,23.065,3.617,
5.567,-3.826,21.465,2.789,
5.6,-4.033,19.83,2.145,
5.633,-4.572,18.17,1.522,
5.667,-5.296,16.512,0.889,
5.7,-6.004,14.884,0.209,
5.733,-6.634,13.247,-0.339,
5.767,-7.144,11.588,-0.683,
5.8,-7.57,10.027,-0.941,
5.833,-7.938,8.672,-1.154,
5.867,-8.246,7.48,-1.35,
5.9,-8.42,6.461,-1.567,
5.933,-8.502,5.578,-1.72,
5.967,-8.506,4.754,-1.791,
6,-8.406,3.951,-1.765,
6.033,-8.238,3.2,-1.725,
6.067,-8.097,2.539,-1.677,
6.1,-8.012,1.921,-1.514,
6.133,-8.023,1.296,-1.134,
6.167,-7.955,0.681,-0.785,
6.2,-7.958,0.179,-0.452,
6.233,-8.05,-0.232,-0.145,
6.267,-8.169,-0.567,0.05,
6.3,-8.285,-0.824,0.09,
6.333,-8.406,-1.061,0.065,
6.367,-8.426,-1.275,0.029,
6.4,-8.348,-1.466,0.006,
6.433,-8.245,-1.6,0.007,
6.467,-8.172,-1.664,0.037,
6.5,-8.129,-1.647,0.041,
6.533,-8.073,-1.57,0.007,
6.567,-7.938,-1.433,-0.02,
6.6,-7.742,-1.205,-0.07,
6.633,-7.551,-0.891,-0.131,
6.667,-7.375,-0.503,-0.145,
6.7,-7.217,-0.038,-0.105,
6.733,-7.054,0.49,-0.02,
6.767,-6.887,1.065,0.072,
6.8,-6.715,1.702,0.04,
6.833,-6.554,2.391,-0.029,
6.867,-6.459,3.131,-0.053,
6.9,-6.457,3.924,0.071,
6.933,-6.359,4.756,0.159,
6.967,-6.426,5.652,0.321,
7,-6.52,6.619,0.669,
7.033,-6.663,7.708,1.026,
7.067,-6.73,8.948,1.323,
7.1,-6.686,10.332,1.508,
7.133,-6.61,11.839,1.593,
7.167,-6.575,13.377,1.65,
7.2,-6.538,14.9,1.705,
7.233,-6.527,16.409,1.745,
7.267,-6.378,17.896,1.857,
7.3,-6.187,19.365,2.01,
7.333,-6.032,20.814,2.194,
7.367,-5.917,22.196,2.406,
7.4,-5.94,23.561,2.664,
7.433,-5.778,24.914,2.952,
7.467,-5.49,26.229,3.256,
7.5,-5.31,27.534,3.38,
7.533,-5.18,28.841,3.356,
7.567,-4.959,30.015,3.362,
7.6,-4.797,31.125,3.447,
7.633,-4.606,32.111,3.642,
7.667,-4.366,32.858,3.885,
7.7,-4.241,33.44,4.134,
7.733,-4.122,33.886,4.417,
7.767,-3.987,34.183,4.602,
7.8,-3.887,34.278,4.799,
7.833,-3.874,34.187,4.908,
7.867,-3.903,33.891,4.936,
7.9,-3.866,33.39,4.816,
7.933,-3.763,32.695,4.543,
7.967,-3.695,31.815,4.149,
8,-3.749,30.795,3.704,
8.033,-3.768,29.559,3.253,
8.067,-3.827,28.145,2.683,
8.1,-4.021,26.671,2.133,
8.133,-4.172,25.104,1.705,
8.167,-4.335,23.488,1.232,
8.2,-4.502,21.898,0.703,
8.233,-4.648,20.326,0.263,
8.267,-4.841,18.694,-0.069,
8.3,-5.124,17.039,-0.418,
8.333,-5.46,15.358,-0.774,
8.367,-5.667,13.622,-0.999,
8.4,-5.898,11.902,-1.171,
8.433,-6.364,10.154,-1.314,
8.467,-6.792,8.288,-1.338,
8.5,-7.317,6.356,-1.292,
8.533,-7.831,4.518,-1.299,
8.567,-8.26,2.808,-1.18,
8.6,-8.59,1.219,-0.92,
8.633,-8.93,-0.195,-0.476,
8.667,-9.143,-1.488,0.146,
8.7,-9.245,-2.653,0.766,
8.733,-9.239,-3.593,1.201,
8.767,-9.235,-4.349,1.493,
8.8,-9.193,-4.984,1.715,
8.833,-9.13,-5.512,1.842,
8.867,-8.996,-5.913,1.863,
8.9,-8.862,-6.199,1.844,
8.933,-8.745,-6.428,1.836,
8.967,-8.639,-6.599,1.822,
9,-8.633,-6.728,1.826,
9.033,-8.644,-6.826,1.812,
9.067,-8.632,-6.866,1.783,
9.1,-8.576,-6.839,1.699,
9.133,-8.471,-6.774,1.586,
9.167,-8.338,-6.673,1.462,
9.2,-8.163,-6.533,1.347,
9.233,-7.949,-6.337,1.234,
9.267,-7.694,-6.107,1.042,
9.3,-7.474,-5.829,0.853,
9.333,-7.095,-5.534,0.756,
9.367,-6.76,-5.189,0.634,
9.4,-6.378,-4.796,0.456,
9.433,-5.947,-4.394,0.215,
9.467,-5.471,-3.961,-0.085,
9.5,-4.978,-3.477,-0.417,
9.533,-4.633,-2.962,-0.741,
9.567,-4.417,-2.464,-0.935,
9.6,-4.203,-2.045,-1.004,
9.633,-4.007,-1.668,-1.045,
9.667,-3.837,-1.298,-1.077,
9.7,-3.693,-0.972,-1.083,
9.733,-3.573,-0.701,-1.096,
9.767,-3.461,-0.469,-1.117,
9.8,-3.355,-0.281,-1.106,
9.833,-3.241,-0.122,-1.104,
9.867,-3.141,0.014,-1.123,
9.9,-3.051,0.128,-1.146,
9.933,-2.988,0.216,-1.164,
