Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.667,1.196,3.299,-2.843,
5.7,1.166,3.024,-3.038,
5.733,1.137,2.683,-3.331,
5.767,1.326,2.404,-3.761,
5.8,1.684,2.451,-4.117,
5.833,1.992,2.745,-4.32,
5.867,2.305,2.801,-4.761,
5.9,2.882,2.571,-5.492,
5.933,3.138,2.142,-6.459,
5.967,3.397,1.491,-7.358,
6,3.778,0.814,-7.907,
6.033,4.217,-0.013,-8.422,
6.067,4.433,-0.748,-8.645,
6.1,4.495,-1.261,-8.5,
6.133,4.748,-1.773,-8.359,
6.167,5.145,-2.347,-8.312,
6.2,5.523,-2.763,-8.089,
6.233,5.715,-3.085,-7.926,
6.267,5.752,-3.413,-7.826,
6.3,5.445,-3.466,-7.618,
6.333,5.056,-3.161,-7.305,
6.367,4.574,-2.87,-6.962,
6.4,3.994,-2.675,-6.692,
6.433,3.372,-2.314,-6.226,
6.467,2.945,-1.825,-5.728,
6.5,2.957,-1.712,-5.481,
6.533,3.192,-2.636,-5.737,
6.567,2.964,-3.455,-5.945,
6.6,2.913,-2.648,-4.953,
6.633,2.89,-0.931,-3.097,
6.667,3.018,-0.247,-2.113,
6.7,3.398,-0.196,-1.684,
6.733,3.621,0.141,-1.447,
6.767,3.754,0.802,-1.229,
6.8,3.823,1.538,-0.824,
6.833,3.922,2.076,-0.636,
6.867,4.291,1.931,-0.986,
6.9,4.634,1.098,-1.939,
6.933,5.07,0.332,-2.761,
6.967,5.598,0.446,-2.919,
7,5.889,0.845,-2.554,
7.033,6.692,0.312,-3.103,
7.067,7.554,-0.557,-4.131,
7.1,7.841,-0.874,-4.692,
7.133,8.161,-1.082,-5.049,
7.167,8.441,-1.42,-5.39,
7.2,8.571,-1.636,-5.418,
7.233,8.626,-1.724,-5.34,
7.267,8.741,-1.853,-5.334,
7.3,8.797,-1.984,-5.391,
7.333,8.661,-2.034,-5.37,
7.367,8.601,-1.986,-5.287,
7.4,8.556,-1.942,-5.252,
7.433,8.534,-1.927,-5.266,
7.467,8.513,-1.912,-5.356,
7.5,8.534,-1.923,-5.504,
7.533,8.563,-1.932,-5.687,
7.567,8.644,-1.942,-5.875,
7.6,8.671,-1.961,-6.055,
7.633,8.684,-1.911,-6.152,
7.667,8.628,-1.856,-6.225,
7.7,8.655,-1.852,-6.291,
7.733,8.74,-1.877,-6.33,
7.767,8.863,-1.904,-6.363,
7.8,8.988,-1.89,-6.412,
7.833,9.098,-1.855,-6.507,
7.867,9.16,-1.836,-6.633,
7.9,9.215,-1.824,-6.73,
7.933,9.307,-1.807,-6.781,
7.967,9.343,-1.799,-6.785,
8,9.34,-1.788,-6.777,
8.033,9.276,-1.766,-6.752,
8.067,9.191,-1.756,-6.724,
8.1,9.163,-1.772,-6.735,
8.133,9.105,-1.833,-6.746,
8.167,9.047,-1.89,-6.77,
8.2,8.972,-1.916,-6.791,
8.233,8.877,-1.922,-6.807,
8.267,8.766,-1.921,-6.82,
8.3,8.666,-1.933,-6.817,
8.333,8.537,-1.964,-6.811,
8.367,8.417,-2.005,-6.788,
8.4,8.306,-2.037,-6.767,
8.433,8.223,-2.029,-6.737,
8.467,8.166,-2.009,-6.714,
8.5,8.091,-1.983,-6.674,
8.533,7.994,-1.943,-6.584,
8.567,7.932,-1.896,-6.451,
8.6,7.91,-1.869,-6.327,
8.633,7.916,-1.863,-6.23,
8.667,7.964,-1.849,-6.162,
8.7,7.972,-1.867,-6.181,
8.733,7.869,-1.892,-6.15,
8.767,7.761,-1.878,-6.053,
8.8,7.696,-1.868,-5.952,
8.833,7.634,-1.883,-5.872,
8.867,7.592,-1.924,-5.83,
8.9,7.582,-1.962,-5.812,
8.933,7.574,-1.991,-5.789,
8.967,7.508,-2.023,-5.761,
9,7.403,-2.047,-5.717,
9.033,7.32,-2.075,-5.703,
9.067,7.253,-2.086,-5.66,
9.1,7.213,-2.083,-5.628,
9.133,7.172,-2.077,-5.62,
9.167,7.117,-2.085,-5.627,
9.2,7.086,-2.085,-5.633,
9.233,7.046,-2.094,-5.643,
9.267,6.997,-2.109,-5.645,
9.3,6.974,-2.124,-5.663,
9.333,6.939,-2.13,-5.675,
9.367,6.903,-2.121,-5.666,
9.4,6.863,-2.097,-5.641,
9.433,6.802,-2.079,-5.622,
9.467,6.739,-2.058,-5.593,
9.5,6.722,-2.061,-5.601,
9.533,6.745,-2.069,-5.605,
9.567,6.782,-2.08,-5.592,
9.6,6.779,-2.091,-5.585,
9.633,6.747,-2.1,-5.565,
9.667,6.773,-2.119,-5.582,
9.7,6.812,-2.12,-5.588,
9.733,6.863,-2.107,-5.597,
9.767,6.93,-2.104,-5.647,
9.8,7.018,-2.097,-5.687,
9.833,7.102,-2.082,-5.713,
9.867,7.203,-2.07,-5.732,
9.9,7.326,-2.06,-5.75,
9.933,7.455,-2.038,-5.76,
