Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.5,4.03,-1.962,-3.548,
5.533,2.773,-2.07,-3.368,
5.567,1.725,-2.219,-3.118,
5.6,0.801,-2.465,-2.891,
5.633,0.145,-2.833,-2.675,
5.667,-0.231,-3.247,-2.611,
5.7,-0.381,-3.754,-2.622,
5.733,-0.329,-4.248,-2.762,
5.767,-0.116,-4.675,-3.009,
5.8,0.279,-5.021,-3.319,
5.833,0.929,-5.317,-3.425,
5.867,1.18,-5.468,-3.526,
5.9,1.271,-5.499,-3.502,
5.933,1.635,-5.464,-3.428,
5.967,1.807,-5.51,-3.565,
6,1.748,-5.781,-3.927,
6.033,1.82,-5.968,-4.006,
6.067,1.858,-6.028,-3.952,
6.1,1.728,-6.155,-4.076,
6.133,1.498,-6.39,-4.354,
6.167,1.253,-6.675,-4.66,
6.2,1.268,-6.905,-4.858,
6.233,1.375,-7.165,-4.983,
6.267,1.184,-7.36,-5.061,
6.3,0.99,-7.661,-5.073,
6.333,0.89,-7.991,-4.987,
6.367,0.753,-8.119,-4.785,
6.4,0.544,-7.896,-4.428,
6.433,0.292,-7.54,-3.932,
6.467,0.067,-7.124,-3.202,
6.5,-0.039,-6.754,-2.362,
6.533,0.295,-6.891,-2.608,
6.567,0.621,-7.064,-3.078,
6.6,0.973,-7.413,-2.871,
6.633,1.619,-7.565,-2.259,
6.667,1.99,-7.003,-1.44,
6.7,1.99,-6.13,-0.77,
6.733,2.217,-5.432,-0.139,
6.767,2.807,-4.794,0.363,
6.8,3.602,-4.038,0.86,
6.833,4.162,-3.543,1.087,
6.867,4.303,-3.304,0.914,
6.9,4.529,-3.214,0.385,
6.933,4.8,-3.268,-0.469,
6.967,5.378,-3.562,-1.102,
7,6.206,-4.169,-1.559,
7.033,6.329,-4.43,-2.078,
7.067,6.552,-4.47,-2.457,
7.1,6.924,-4.526,-2.71,
7.133,7.156,-4.691,-2.784,
7.167,7.264,-4.866,-2.918,
7.2,7.573,-4.924,-3.122,
7.233,7.821,-4.852,-3.134,
7.267,7.967,-4.885,-3.113,
7.3,8.143,-5.075,-3.07,
7.333,8.179,-5.335,-3.075,
7.367,8.059,-5.496,-3.114,
7.4,7.86,-5.563,-3.109,
7.433,7.666,-5.544,-3.089,
7.467,7.383,-5.549,-3.091,
7.5,7.057,-5.591,-3.132,
7.533,6.732,-5.669,-3.196,
7.567,6.398,-5.738,-3.306,
7.6,6.257,-5.822,-3.425,
7.633,6.157,-5.83,-3.496,
7.667,6.012,-5.702,-3.55,
7.7,5.743,-5.549,-3.689,
7.733,5.483,-5.47,-3.841,
7.767,5.317,-5.424,-3.94,
7.8,5.226,-5.389,-4.008,
7.833,5.229,-5.378,-4.059,
7.867,5.275,-5.367,-4.103,
7.9,5.319,-5.34,-4.138,
7.933,5.374,-5.403,-4.214,
7.967,5.415,-5.502,-4.296,
8,5.457,-5.575,-4.376,
8.033,5.482,-5.606,-4.465,
8.067,5.431,-5.543,-4.494,
8.1,5.338,-5.449,-4.476,
8.133,5.269,-5.39,-4.493,
8.167,5.211,-5.349,-4.501,
8.2,5.161,-5.295,-4.477,
8.233,5.198,-5.322,-4.502,
8.267,5.169,-5.324,-4.53,
8.3,5.119,-5.255,-4.53,
8.333,5.058,-5.252,-4.571,
8.367,5.089,-5.296,-4.644,
8.4,5.159,-5.343,-4.683,
8.433,5.185,-5.351,-4.675,
8.467,5.175,-5.288,-4.62,
8.5,5.131,-5.157,-4.539,
8.533,5.076,-5.024,-4.448,
8.567,5.034,-4.914,-4.384,
8.6,5.029,-4.801,-4.33,
8.633,4.99,-4.728,-4.283,
8.667,4.966,-4.716,-4.234,
8.7,4.983,-4.724,-4.133,
8.733,5.057,-4.725,-4.036,
8.767,5.113,-4.742,-3.954,
8.8,5.153,-4.784,-3.915,
8.833,5.178,-4.835,-3.914,
8.867,5.26,-4.901,-3.904,
8.9,5.269,-4.942,-3.865,
8.933,5.38,-4.945,-3.845,
8.967,5.417,-4.934,-3.841,
9,5.413,-4.888,-3.833,
9.033,5.417,-4.852,-3.812,
9.067,5.422,-4.855,-3.824,
9.1,5.434,-4.851,-3.833,
9.133,5.438,-4.792,-3.795,
9.167,5.434,-4.772,-3.784,
9.2,5.423,-4.778,-3.817,
9.233,5.439,-4.793,-3.848,
9.267,5.448,-4.826,-3.882,
9.3,5.461,-4.874,-3.931,
9.333,5.46,-4.924,-3.968,
9.367,5.431,-5.002,-4.024,
9.4,5.379,-5.058,-4.052,
9.433,5.378,-5.096,-4.069,
9.467,5.382,-5.085,-4.08,
9.5,5.431,-5.102,-4.075,
9.533,5.4,-5.101,-4.078,
9.567,5.464,-5.056,-4.069,
9.6,5.503,-5.004,-4.037,
9.633,5.506,-4.941,-4.015,
9.667,5.479,-4.886,-3.976,
9.7,5.455,-4.848,-3.949,
9.733,5.461,-4.818,-3.92,
9.767,5.415,-4.764,-3.861,
9.8,5.387,-4.719,-3.808,
9.833,5.358,-4.732,-3.802,
9.867,5.292,-4.765,-3.838,
9.9,5.202,-4.777,-3.854,
9.933,5.124,-4.798,-3.872,
