Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.6,18.143,-0.022,-3.695,
5.633,19.35,0.051,-3.59,
5.667,20.686,0.126,-3.637,
5.7,21.821,0.202,-3.763,
5.733,22.786,0.248,-3.975,
5.767,23.809,0.307,-4.26,
5.8,24.711,0.435,-4.512,
5.833,25.477,0.517,-4.664,
5.867,26.197,0.615,-4.766,
5.9,26.932,0.759,-4.865,
5.933,27.566,0.936,-4.908,
5.967,28.113,1.105,-4.857,
6,28.752,1.271,-4.796,
6.033,29.447,1.463,-4.771,
6.067,30.036,1.602,-4.746,
6.1,30.482,1.682,-4.604,
6.133,31.066,1.711,-4.492,
6.167,31.584,1.743,-4.389,
6.2,32.078,1.777,-4.333,
6.233,32.448,1.803,-4.256,
6.267,32.737,1.834,-4.184,
6.3,32.905,1.88,-4.15,
6.333,32.996,1.958,-4.127,
6.367,33.073,2.042,-4.093,
6.4,33.153,2.131,-4.06,
6.433,33.136,2.205,-4.02,
6.467,33.144,2.252,-4.003,
6.5,33.122,2.281,-4.006,
6.533,33.077,2.289,-4.02,
6.567,33.056,2.272,-4.064,
6.6,33.017,2.244,-4.102,
6.633,32.936,2.207,-4.122,
6.667,32.821,2.18,-4.154,
6.7,32.698,2.168,-4.181,
6.733,32.569,2.156,-4.206,
6.767,32.36,2.141,-4.233,
6.8,32.045,2.144,-4.364,
6.833,31.781,2.143,-4.469,
6.867,31.599,2.126,-4.508,
6.9,31.469,2.111,-4.5,
6.933,31.329,2.084,-4.462,
6.967,31.01,2.081,-4.48,
7,30.572,2.089,-4.553,
7.033,29.978,2.079,-4.63,
7.067,29.344,2.086,-4.647,
7.1,28.622,2.113,-4.578,
7.133,27.808,2.18,-4.486,
7.167,26.954,2.278,-4.438,
7.2,26.078,2.351,-4.372,
7.233,25.188,2.409,-4.352,
7.267,24.223,2.441,-4.297,
7.3,23.167,2.456,-4.31,
7.333,22.108,2.41,-4.275,
7.367,21.024,2.341,-4.264,
7.4,19.849,2.228,-4.231,
7.433,18.614,2.035,-4.162,
7.467,17.416,1.783,-4.079,
7.5,16.268,1.51,-3.998,
7.533,15.154,1.261,-3.968,
7.567,14,1.034,-3.94,
7.6,12.903,0.815,-3.944,
7.633,12,0.624,-4.019,
7.667,11.164,0.464,-4.124,
7.7,10.428,0.33,-4.23,
7.733,9.702,0.213,-4.303,
7.767,8.983,0.134,-4.379,
7.8,8.427,0.052,-4.265,
7.833,7.893,0.035,-4.194,
7.867,7.407,0.08,-4.144,
7.9,7.028,0.137,-4.072,
7.933,6.736,0.182,-4.011,
7.967,6.579,0.213,-3.958,
8,6.493,0.236,-3.943,
8.033,6.365,0.267,-3.944,
8.067,6.246,0.301,-3.918,
8.1,6.192,0.342,-3.952,
8.133,6.088,0.402,-3.97,
8.167,5.986,0.478,-3.962,
8.2,5.998,0.53,-3.958,
8.233,6.028,0.558,-3.947,
8.267,6.055,0.574,-3.952,
8.3,6.091,0.578,-3.989,
8.333,6.138,0.586,-4.025,
8.367,6.184,0.594,-4.039,
8.4,6.229,0.585,-4.054,
8.433,6.272,0.568,-4.076,
8.467,6.306,0.559,-4.12,
8.5,6.212,0.531,-4.066,
8.533,6.223,0.523,-4.117,
8.567,6.299,0.53,-4.146,
8.6,6.337,0.517,-4.087,
8.633,6.357,0.507,-4.033,
8.667,6.395,0.502,-3.962,
8.7,6.454,0.498,-3.913,
8.733,6.557,0.49,-3.866,
8.767,6.698,0.482,-3.83,
8.8,6.897,0.499,-3.838,
8.833,7.142,0.562,-3.842,
8.867,7.45,0.651,-3.853,
8.9,7.807,0.743,-3.9,
8.933,8.25,0.823,-3.959,
8.967,8.806,0.849,-3.982,
