Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.5,-1.808,-0.325,4.048,
5.533,-1.539,-0.44,4.16,
5.567,-1.305,-0.508,4.343,
5.6,-1.013,-0.587,4.559,
5.633,-0.726,-0.694,4.741,
5.667,-0.495,-0.815,4.961,
5.7,-0.314,-0.929,5.175,
5.733,-0.176,-1.045,5.291,
5.767,-0.239,-1.13,5.347,
5.8,-0.438,-1.201,5.385,
5.833,-0.649,-1.261,5.354,
5.867,-0.638,-1.295,5.209,
5.9,-0.698,-1.295,5.106,
5.933,-0.832,-1.278,4.992,
5.967,-0.887,-1.274,4.853,
6,-0.919,-1.274,4.723,
6.033,-0.945,-1.27,4.576,
6.067,-0.957,-1.271,4.461,
6.1,-0.992,-1.281,4.365,
6.133,-1.015,-1.281,4.294,
6.167,-1.083,-1.27,4.23,
6.2,-1.153,-1.251,4.186,
6.233,-1.17,-1.238,4.165,
6.267,-1.266,-1.228,4.141,
6.3,-1.435,-1.226,4.115,
6.333,-1.718,-1.243,4.077,
6.367,-1.962,-1.287,4.028,
6.4,-2.165,-1.312,3.997,
6.433,-2.406,-1.369,3.891,
6.467,-2.726,-1.442,3.682,
6.5,-3.043,-1.485,3.548,
6.533,-3.291,-1.505,3.449,
6.567,-3.418,-1.544,3.206,
6.6,-3.628,-1.589,2.911,
6.633,-3.772,-1.671,2.688,
6.667,-3.891,-1.704,2.352,
6.7,-3.999,-1.643,2.064,
6.733,-4.001,-1.592,1.996,
6.767,-3.933,-1.56,1.875,
6.8,-3.863,-1.485,1.701,
6.833,-3.863,-1.313,1.523,
6.867,-3.766,-1.142,1.375,
6.9,-3.488,-1.042,1.223,
6.933,-3.216,-0.915,0.927,
6.967,-2.906,-0.842,0.526,
7,-2.589,-0.83,0.185,
7.033,-2.311,-0.831,-0.127,
7.067,-2.021,-0.883,-0.486,
7.1,-1.723,-0.963,-0.839,
7.133,-1.438,-1.046,-1.103,
7.167,-1.158,-1.137,-1.303,
7.2,-0.844,-1.21,-1.451,
7.233,-0.482,-1.29,-1.62,
7.267,-0.073,-1.371,-1.814,
7.3,0.347,-1.445,-1.948,
7.333,0.732,-1.513,-2.072,
7.367,1.126,-1.586,-2.173,
7.4,1.508,-1.677,-2.273,
7.433,1.892,-1.774,-2.379,
7.467,2.278,-1.857,-2.436,
7.5,2.676,-1.966,-2.472,
7.533,3.035,-2.078,-2.5,
7.567,3.365,-2.172,-2.547,
7.6,3.657,-2.248,-2.522,
7.633,3.928,-2.299,-2.466,
7.667,4.161,-2.327,-2.445,
7.7,4.306,-2.351,-2.446,
7.733,4.377,-2.379,-2.448,
7.767,4.423,-2.407,-2.471,
7.8,4.471,-2.432,-2.527,
7.833,4.501,-2.444,-2.56,
7.867,4.492,-2.449,-2.565,
7.9,4.43,-2.472,-2.586,
7.933,4.336,-2.507,-2.656,
7.967,4.249,-2.518,-2.677,
8,4.16,-2.518,-2.637,
8.033,4.033,-2.534,-2.621,
8.067,3.919,-2.543,-2.59,
8.1,3.745,-2.522,-2.515,
8.133,3.472,-2.49,-2.423,
8.167,3.151,-2.4,-2.389,
8.2,2.807,-2.257,-2.283,
8.233,2.451,-2.113,-2.153,
8.267,2.139,-2.051,-2.049,
8.3,1.803,-2.016,-1.968,
8.333,1.386,-1.949,-1.803,
8.367,0.864,-1.87,-1.597,
8.4,0.353,-1.857,-1.413,
8.433,-0.088,-1.88,-1.391,
8.467,-0.629,-1.869,-1.472,
8.5,-1.171,-1.839,-1.473,
8.533,-1.701,-1.846,-1.453,
8.567,-2.016,-1.815,-1.345,
8.6,-2.103,-1.678,-0.895,
8.633,-2.132,-1.494,-0.328,
8.667,-2.156,-1.314,0.26,
8.7,-2.311,-1.147,0.93,
8.733,-2.532,-1.072,1.567,
8.767,-2.687,-1.057,1.966,
8.8,-2.76,-1.032,2.276,
8.833,-2.876,-1.04,2.539,
8.867,-3.035,-1.1,2.593,
8.9,-3.11,-1.191,2.556,
8.933,-3.119,-1.285,2.538,
8.967,-3.053,-1.347,2.476,
9,-2.923,-1.376,2.397,
9.033,-2.703,-1.414,2.281,
9.067,-2.409,-1.419,2.19,
9.1,-2.147,-1.379,2.238,
9.133,-1.976,-1.361,2.329,
9.167,-1.86,-1.403,2.378,
9.2,-1.839,-1.455,2.404,
9.233,-1.913,-1.478,2.359,
9.267,-1.959,-1.472,2.205,
9.3,-1.996,-1.433,1.927,
9.333,-2.141,-1.351,1.608,
9.367,-2.354,-1.264,1.339,
9.4,-2.561,-1.198,1.096,
9.433,-2.746,-1.166,0.83,
9.467,-2.902,-1.158,0.585,
9.5,-3.104,-1.156,0.388,
9.533,-3.325,-1.144,0.178,
9.567,-3.459,-1.112,-0.053,
9.6,-3.501,-1.063,-0.239,
9.633,-3.508,-1.017,-0.371,
9.667,-3.545,-0.957,-0.477,
9.7,-3.594,-0.898,-0.549,
9.733,-3.61,-0.843,-0.589,
9.767,-3.567,-0.796,-0.586,
9.8,-3.517,-0.756,-0.555,
9.833,-3.491,-0.72,-0.515,
9.867,-3.437,-0.694,-0.464,
9.9,-3.38,-0.679,-0.394,
9.933,-3.334,-0.659,-0.334,
