Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.5,2.116,-0.438,-0.967,
5.533,1.843,-0.395,-0.974,
5.567,1.683,-0.381,-0.971,
5.6,1.537,-0.357,-0.981,
5.633,1.383,-0.324,-1.002,
5.667,1.253,-0.301,-1.023,
5.7,1.155,-0.282,-1.064,
5.733,1.076,-0.262,-1.098,
5.767,0.987,-0.25,-1.113,
5.8,0.895,-0.24,-1.124,
5.833,0.833,-0.241,-1.133,
5.867,0.746,-0.23,-1.163,
5.9,0.605,-0.214,-1.18,
5.933,0.433,-0.197,-1.175,
5.967,0.332,-0.187,-1.175,
6,0.253,-0.181,-1.159,
6.033,0.182,-0.163,-1.16,
6.067,0.126,-0.128,-1.158,
6.1,0.06,-0.124,-1.107,
6.133,-0.085,-0.11,-1.089,
6.167,-0.277,-0.086,-1.073,
6.2,-0.491,-0.067,-1.085,
6.233,-0.63,-0.058,-1.108,
6.267,-0.722,-0.055,-1.113,
6.3,-0.825,-0.045,-1.098,
6.333,-0.919,-0.026,-1.087,
6.367,-0.976,-0.006,-1.084,
6.4,-0.993,0.007,-1.079,
6.433,-1.017,0.025,-1.073,
6.467,-1.063,0.042,-1.059,
6.5,-1.094,0.06,-1.055,
6.533,-1.116,0.068,-1.06,
6.567,-1.14,0.072,-1.062,
6.6,-1.172,0.076,-1.07,
6.633,-1.205,0.078,-1.065,
6.667,-1.234,0.079,-1.063,
6.7,-1.24,0.072,-1.064,
6.733,-1.232,0.066,-1.052,
6.767,-1.208,0.068,-1.037,
6.8,-1.172,0.066,-1.023,
6.833,-1.132,0.05,-1.002,
6.867,-1.079,0.037,-1.004,
6.9,-1.074,0.038,-0.994,
6.933,-1.098,0.038,-0.967,
6.967,-1.101,0.028,-0.965,
7,-1.084,0.021,-0.97,
7.033,-1.071,0.022,-0.947,
7.067,-1.036,0.02,-0.926,
7.1,-0.961,0.012,-0.923,
7.133,-0.836,-0.006,-0.909,
7.167,-0.724,-0.026,-0.884,
7.2,-0.642,-0.053,-0.843,
7.233,-0.573,-0.099,-0.712,
7.267,-0.509,-0.14,-0.471,
7.3,-0.414,-0.169,-0.294,
7.333,-0.321,-0.241,-0.066,
7.367,-0.241,-0.317,0.234,
7.4,-0.092,-0.365,0.422,
7.433,0.19,-0.431,0.538,
7.467,0.568,-0.518,0.588,
7.5,0.942,-0.601,0.56,
7.533,1.265,-0.658,0.524,
7.567,1.543,-0.719,0.502,
7.6,1.815,-0.809,0.492,
7.633,2.042,-0.896,0.435,
7.667,2.229,-0.96,0.319,
7.7,2.248,-0.99,0.26,
7.733,2.153,-1.022,0.274,
7.767,1.985,-1.058,0.314,
7.8,1.845,-1.112,0.39,
7.833,1.706,-1.17,0.473,
