Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.567,-6.719,2.802,0.039,
5.6,-6.928,2.683,0.469,
5.633,-6.743,2.633,0.45,
5.667,-6.548,2.632,0.213,
5.7,-6.39,2.623,-0.055,
5.733,-6.373,2.583,-0.285,
5.767,-6.485,2.56,-0.443,
5.8,-6.577,2.559,-0.59,
5.833,-6.599,2.557,-0.779,
5.867,-6.677,2.535,-0.827,
5.9,-6.706,2.459,-0.743,
5.933,-6.669,2.407,-0.675,
5.967,-6.605,2.395,-0.592,
6,-6.475,2.384,-0.453,
6.033,-6.339,2.422,-0.396,
6.067,-6.244,2.474,-0.37,
6.1,-6.175,2.504,-0.312,
6.133,-6.015,2.501,-0.165,
6.167,-5.699,2.497,-0.009,
6.2,-5.373,2.549,0.089,
6.233,-5.107,2.59,0.247,
6.267,-4.928,2.588,0.482,
6.3,-4.798,2.563,0.706,
6.333,-4.656,2.531,0.889,
6.367,-4.456,2.505,0.994,
6.4,-4.201,2.496,1.04,
6.433,-3.86,2.499,1.045,
6.467,-3.438,2.504,1.038,
6.5,-2.917,2.499,0.983,
6.533,-1.944,2.528,0.94,
6.567,-0.601,2.519,0.85,
6.6,1.111,2.547,0.677,
6.633,3.18,2.448,0.531,
6.667,5.243,2.178,0.53,
6.7,7.023,1.863,0.751,
6.733,8.64,1.522,1.196,
6.767,10.552,1.193,1.536,
6.8,13.09,0.894,1.502,
6.833,15.939,0.621,1.253,
6.867,19.074,0.338,0.887,
6.9,21.829,0.113,0.406,
6.933,23.657,0.015,-0.205,
6.967,24.857,0.117,-0.576,
7,25.86,0.483,-0.458,
7.033,26.429,0.878,-0.232,
7.067,26.418,1.138,-0.12,
7.1,26.221,1.388,-0.09,
7.133,25.995,1.592,-0.087,
7.167,25.85,1.682,-0.082,
7.2,25.748,1.717,-0.087,
7.233,25.662,1.76,-0.185,
7.267,25.658,1.835,-0.369,
7.3,25.809,1.898,-0.535,
7.333,26.107,1.881,-0.69,
7.367,26.611,1.8,-0.907,
7.4,27.077,1.752,-1.126,
7.433,27.145,1.734,-1.237,
7.467,26.981,1.711,-1.184,
7.5,26.791,1.664,-1.162,
7.533,26.454,1.598,-1.182,
7.567,25.755,1.521,-1.215,
7.6,24.831,1.442,-1.205,
7.633,23.73,1.332,-0.925,
7.667,22.537,1.251,-0.564,
7.7,21.46,1.069,-0.344,
7.733,20.469,0.664,-0.236,
7.767,19.475,0.188,-0.203,
7.8,18.097,-0.237,-0.247,
7.833,16.394,-0.704,-0.4,
7.867,14.651,-1.214,-0.698,
7.9,12.924,-1.578,-0.971,
7.933,11.525,-1.746,-1.15,
7.967,10.052,-1.766,-1.509,
8,8.237,-1.787,-2.003,
8.033,7.003,-1.847,-2.609,
8.067,5.785,-1.845,-3.145,
8.1,4.138,-1.782,-3.755,
8.133,2.856,-1.762,-4.022,
8.167,1.104,-1.604,-4.352,
8.2,-0.912,-1.262,-4.602,
8.233,-2.634,-0.932,-4.412,
8.267,-4.249,-0.674,-4.385,
8.3,-5.93,-0.345,-4.512,
8.333,-7.38,-0.131,-4.041,
8.367,-9.099,-0.069,-3.501,
8.4,-10.819,0.133,-3.36,
8.433,-12.408,0.367,-3.429,
8.467,-13.779,0.629,-3.479,
8.5,-14.95,0.719,-3.287,
8.533,-15.966,0.672,-3.055,
8.567,-17.044,0.655,-2.899,
8.6,-18.116,0.609,-2.753,
8.633,-19.197,0.571,-2.757,
8.667,-20.067,0.636,-2.923,
8.7,-20.729,0.726,-3.022,
8.733,-21.473,0.835,-3.091,
8.767,-22.064,0.937,-3.172,
8.8,-22.495,0.991,-3.429,
8.833,-22.829,1.052,-3.652,
8.867,-22.94,1.076,-3.893,
8.9,-22.871,1.016,-4.156,
8.933,-22.716,0.883,-4.193,
8.967,-22.542,0.756,-4.167,
9,-22.296,0.624,-4.069,
9.033,-22.067,0.477,-3.865,
9.067,-21.903,0.319,-3.613,
9.1,-21.776,0.201,-3.422,
9.133,-21.697,0.127,-3.3,
9.167,-21.643,0.089,-3.208,
9.2,-21.606,0.042,-3.129,
9.233,-21.536,0.01,-3.088,
9.267,-21.46,-0.071,-3.002,
9.3,-21.345,-0.219,-2.843,
9.333,-21.102,-0.431,-2.692,
9.367,-20.632,-0.632,-2.613,
9.4,-19.849,-0.779,-2.594,
9.433,-18.505,-0.949,-2.481,
9.467,-16.44,-1.138,-2.134,
9.5,-13.556,-1.166,-1.853,
9.533,-10.383,-1.048,-1.562,
9.567,-7.554,-1.076,-0.837,
9.6,-4.838,-1.153,0.02,
9.633,-1.96,-1.094,0.909,
9.667,1.032,-0.933,1.455,
9.7,3.524,-0.709,1.493,
9.733,5.617,-0.414,1.452,
9.767,7.729,-0.128,1.414,
9.8,9.917,0.06,1.449,
9.833,11.64,-0.009,1.705,
9.867,12.408,-0.078,1.971,
9.9,12.539,-0.007,1.94,
9.933,12.364,0.049,1.576,
