Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.533,-1.833,1.22,-6.051,
5.567,-2.165,0.846,-6.228,
5.6,-2.359,0.627,-6.419,
5.633,-2.431,1.049,-6.298,
5.667,-2.632,1.919,-6.174,
5.7,-2.361,2.287,-6.144,
5.733,-1.505,1.917,-6.705,
5.767,-0.898,1.59,-7.659,
5.8,-0.275,1.463,-8.411,
5.833,0.492,1.351,-9.214,
5.867,1.117,0.821,-9.99,
5.9,1.525,0.163,-10.369,
5.933,1.793,-0.267,-10.572,
5.967,2.033,-0.789,-10.751,
6,2.198,-1.429,-10.991,
6.033,2.366,-1.852,-11.129,
6.067,2.602,-2.067,-11.1,
6.1,2.817,-2.205,-10.96,
6.133,2.84,-2.183,-10.653,
6.167,2.598,-1.976,-10.229,
6.2,2.126,-1.548,-9.613,
6.233,1.583,-0.991,-8.935,
6.267,1.045,-0.439,-8.213,
6.3,0.423,0.16,-7.251,
6.333,-0.143,0.785,-6.077,
6.367,-0.132,0.661,-5.461,
6.4,0.103,-0.367,-5.494,
6.433,0.097,-1.014,-5.429,
6.467,0.051,-1.109,-5.282,
6.5,0.033,-0.606,-4.788,
6.533,0.127,0.086,-4.263,
6.567,0.275,0.779,-3.653,
6.6,0.304,1.472,-3.194,
6.633,0.211,1.838,-2.96,
6.667,-0.023,2.09,-2.703,
6.7,-0.127,2.466,-2.144,
6.733,-0.231,2.85,-1.486,
6.767,-0.365,3.141,-0.905,
6.8,-0.519,3.306,-0.408,
6.833,-0.645,3.317,-0.109,
6.867,-0.789,3.139,0.015,
6.9,-0.868,2.88,0.07,
6.933,-0.802,2.529,-0.11,
6.967,-0.522,2.292,-0.372,
7,-0.318,2.465,-0.278,
7.033,-0.15,2.952,0.034,
7.067,0.122,3.337,0.325,
7.1,0.515,3.043,0.036,
7.133,1.165,2.535,-0.433,
7.167,1.729,2.286,-0.767,
7.2,2.355,2.137,-1.111,
7.233,3.145,1.933,-1.614,
7.267,3.811,1.764,-2.109,
7.3,4.244,1.613,-2.549,
7.333,4.598,1.488,-2.919,
7.367,4.85,1.398,-3.246,
7.4,4.963,1.295,-3.541,
7.433,4.934,1.154,-3.825,
7.467,5,0.995,-4.11,
7.5,5.128,0.804,-4.408,
7.533,5.176,0.593,-4.72,
7.567,5.125,0.421,-4.991,
7.6,5.048,0.311,-5.154,
7.633,5.041,0.233,-5.195,
7.667,5.026,0.155,-5.131,
7.7,4.995,0.086,-5.02,
7.733,5.016,-0.031,-4.901,
7.767,5.036,-0.191,-4.779,
7.8,4.813,-0.339,-4.577,
7.833,4.562,-0.442,-4.321,
7.867,4.29,-0.537,-4.003,
7.9,3.818,-0.539,-3.533,
7.933,3.231,-0.411,-2.966,
7.967,2.63,-0.294,-2.36,
8,2.055,-0.314,-1.759,
8.033,1.486,-0.48,-1.295,
8.067,0.884,-0.753,-1.043,
8.1,0.337,-1.031,-0.877,
8.133,-0.238,-1.293,-0.743,
8.167,-0.756,-1.31,-0.514,
8.2,-1.149,-0.83,0.029,
8.233,-2.01,-0.241,0.693,
8.267,-3.006,0.218,1.227,
8.3,-3.886,0.643,1.746,
8.333,-4.705,0.821,2.06,
8.367,-5.438,0.697,2.165,
8.4,-6.033,0.531,2.255,
8.433,-6.578,0.435,2.366,
8.467,-7.039,0.379,2.513,
8.5,-7.569,0.293,2.552,
8.533,-8.132,0.028,2.352,
8.567,-8.801,-0.348,2.098,
8.6,-9.633,-0.813,1.676,
8.633,-10.666,-1.059,1.605,
8.667,-12.342,-0.998,2.086,
8.7,-14.548,-1.274,2.599,
8.733,-16.733,-2.254,2.581,
8.767,-18.35,-3.076,2.182,
8.8,-19.465,-3.172,1.769,
8.833,-20.322,-3.252,1.492,
8.867,-20.905,-3.496,1.306,
8.9,-21.088,-3.679,1.205,
8.933,-20.872,-3.742,1.29,
8.967,-20.392,-3.91,1.192,
9,-19.79,-4.022,1.293,
9.033,-19.173,-4.102,1.661,
9.067,-18.597,-4.267,1.944,
9.1,-17.977,-4.467,2.129,
9.133,-17.21,-4.56,2.204,
9.167,-16.239,-4.541,2.104,
9.2,-15.306,-4.532,1.704,
9.233,-14.394,-4.341,1.342,
9.267,-13.505,-3.931,1.081,
9.3,-12.937,-3.474,0.849,
9.333,-12.613,-2.8,1.081,
9.367,-12.219,-1.737,1.874,
9.4,-11.692,-0.392,3.393,
9.433,-11.636,0.789,5.569,
9.467,-12.02,1.369,7.78,
9.5,-12.3,1.853,10.11,
9.533,-12.319,2.161,12.36,
9.567,-12.298,2.69,14.987,
9.6,-12.342,3.541,17.435,
9.633,-12.133,4.456,19.724,
9.667,-11.684,5.142,21.683,
9.7,-11.224,5.66,23.421,
9.733,-10.65,5.889,24.848,
9.767,-10.057,6.037,25.931,
9.8,-9.593,6.297,27.013,
9.833,-9.24,6.324,28.071,
9.867,-9.296,6.03,29.065,
9.9,-9.548,5.64,29.913,
9.933,-9.677,5.184,30.737,
