Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
6.2,0.039,0.487,0.029,
6.233,0.034,0.488,0.026,
6.267,0.028,0.488,0.022,
6.3,0.022,0.489,0.018,
6.333,0.014,0.489,0.013,
6.367,0.01,0.489,0.012,
6.4,0.013,0.489,0.013,
6.433,0.017,0.489,0.011,
6.467,0.021,0.489,0.009,
6.5,0.026,0.489,0.008,
6.533,0.03,0.489,0.006,
6.567,0.03,0.488,0.005,
6.6,0.029,0.488,0.004,
6.633,0.026,0.489,0.003,
6.667,0.022,0.489,0.002,
6.7,0.017,0.489,0.002,
6.733,0.012,0.489,0.003,
6.767,0.008,0.489,0.004,
6.8,0.005,0.489,0.005,
6.833,0.003,0.489,0.006,
6.867,0.003,0.489,0.006,
6.9,0.004,0.489,0.006,
6.933,0.006,0.489,0.005,
6.967,0.009,0.489,0.005,
7,0.009,0.489,0.004,
7.033,0.007,0.489,0.006,
7.067,0.005,0.489,0.011,
7.1,0.004,0.489,0.015,
7.133,0.005,0.489,0.019,
7.167,0.006,0.489,0.024,
7.2,0.007,0.489,0.027,
7.233,0.008,0.489,0.03,
7.267,0.011,0.488,0.033,
7.3,0.013,0.488,0.035,
7.333,0.015,0.488,0.036,
7.367,0.016,0.488,0.036,
7.4,0.018,0.488,0.036,
7.433,0.019,0.488,0.035,
7.467,0.021,0.488,0.034,
7.5,0.022,0.488,0.033,
7.533,0.023,0.488,0.032,
7.567,0.025,0.488,0.031,
7.6,0.026,0.488,0.029,
7.633,0.026,0.488,0.028,
7.667,0.027,0.488,0.026,
7.7,0.027,0.488,0.025,
7.733,0.028,0.488,0.024,
7.767,0.029,0.488,0.023,
7.8,0.029,0.488,0.021,
7.833,0.03,0.488,0.019,
7.867,0.031,0.488,0.017,
7.9,0.031,0.488,0.014,
7.933,0.03,0.488,0.01,
7.967,0.029,0.489,0.006,
8,0.029,0.489,0.002,
8.033,0.029,0.489,-0.002,
8.067,0.029,0.489,-0.006,
8.1,0.031,0.489,-0.01,
8.133,0.032,0.488,-0.014,
8.167,0.033,0.488,-0.018,
8.2,0.032,0.488,-0.021,
8.233,0.028,0.488,-0.024,
8.267,0.024,0.488,-0.028,
8.3,0.019,0.488,-0.033,
8.333,0.013,0.488,-0.038,
8.367,0.009,0.488,-0.044,
8.4,0.007,0.487,-0.049,
8.433,0.004,0.487,-0.054,
8.467,0.003,0.486,-0.06,
8.5,0.002,0.485,-0.066,
8.533,0.003,0.484,-0.073,
8.567,0.005,0.483,-0.081,
8.6,0.008,0.481,-0.091,
8.633,0.011,0.479,-0.101,
8.667,0.01,0.476,-0.113,
8.7,0.01,0.473,-0.127,
8.733,0.013,0.468,-0.144,
8.767,0.018,0.462,-0.162,
8.8,0.023,0.455,-0.179,
8.833,0.028,0.448,-0.196,
8.867,0.032,0.441,-0.21,
8.9,0.035,0.434,-0.222,
8.933,0.036,0.428,-0.233,
8.967,0.037,0.422,-0.243,
9,0.037,0.416,-0.251,
