Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,41.906,-1.721,-1.163,
0.033,42.017,-1.718,-1.203,
0.067,42.088,-1.708,-1.246,
0.1,42.175,-1.681,-1.293,
0.133,42.207,-1.664,-1.3,
0.167,42.234,-1.655,-1.294,
0.2,42.289,-1.653,-1.298,
0.233,42.325,-1.644,-1.297,
0.267,42.34,-1.635,-1.288,
0.3,42.328,-1.633,-1.288,
0.333,42.358,-1.632,-1.315,
0.367,42.251,-1.618,-1.273,
0.4,42.154,-1.617,-1.285,
0.433,42.143,-1.597,-1.276,
0.467,42.169,-1.581,-1.288,
0.5,42.238,-1.543,-1.312,
0.533,42.37,-1.486,-1.309,
0.567,42.525,-1.412,-1.322,
0.6,42.62,-1.342,-1.348,
0.633,42.668,-1.305,-1.37,
0.667,42.662,-1.289,-1.389,
0.7,42.732,-1.29,-1.411,
0.733,42.793,-1.308,-1.445,
0.767,42.799,-1.323,-1.488,
0.8,42.759,-1.344,-1.5,
0.833,42.674,-1.374,-1.506,
0.867,42.599,-1.404,-1.497,
0.9,42.519,-1.433,-1.488,
0.933,42.416,-1.45,-1.487,
0.967,42.313,-1.444,-1.466,
1,42.22,-1.445,-1.431,
1.033,42.121,-1.453,-1.374,
1.067,42.014,-1.471,-1.324,
1.1,41.961,-1.484,-1.288,
1.133,41.874,-1.505,-1.232,
1.167,41.723,-1.519,-1.198,
1.2,41.632,-1.517,-1.102,
1.233,41.543,-1.511,-1.048,
1.267,41.496,-1.499,-1.008,
1.3,41.485,-1.498,-0.949,
1.333,41.472,-1.496,-0.92,
1.367,41.463,-1.486,-0.917,
1.4,41.491,-1.489,-0.953,
1.433,41.473,-1.489,-0.941,
1.467,41.486,-1.497,-0.901,
1.5,41.501,-1.508,-0.901,
1.533,41.526,-1.518,-0.913,
1.567,41.601,-1.544,-0.962,
1.6,41.65,-1.567,-1.016,
1.633,41.699,-1.581,-1.067,
1.667,41.715,-1.585,-1.089,
1.7,41.691,-1.582,-1.096,
1.733,41.642,-1.575,-1.112,
1.767,41.576,-1.585,-1.127,
1.8,41.506,-1.617,-1.136,
1.833,41.43,-1.669,-1.189,
1.867,41.214,-1.71,-1.146,
1.9,41.042,-1.761,-1.187,
1.933,40.961,-1.778,-1.211,
1.967,40.863,-1.796,-1.233,
2,40.813,-1.811,-1.292,
2.033,40.797,-1.827,-1.335,
2.067,40.807,-1.843,-1.388,
2.1,40.814,-1.845,-1.494,
2.133,40.781,-1.844,-1.606,
2.167,40.668,-1.838,-1.697,
2.2,40.648,-1.828,-1.741,
2.233,40.651,-1.828,-1.782,
2.267,40.674,-1.822,-1.853,
2.3,40.74,-1.806,-1.936,
2.333,40.844,-1.787,-1.987,
2.367,40.972,-1.775,-2.006,
2.4,41.127,-1.779,-2.023,
2.433,41.288,-1.789,-2.036,
2.467,41.415,-1.788,-2.032,
2.5,41.52,-1.783,-2.022,
2.533,41.647,-1.772,-2.02,
2.567,41.745,-1.788,-1.98,
2.6,41.811,-1.814,-1.963,
2.633,41.832,-1.829,-1.929,
2.667,41.768,-1.864,-1.921,
2.7,41.567,-1.891,-1.945,
2.733,41.445,-1.931,-1.949,
2.767,41.308,-1.994,-1.988,
2.8,41.16,-2.064,-2.037,
2.833,40.971,-2.138,-2.066,
2.867,40.726,-2.194,-2.126,
2.9,40.418,-2.225,-2.191,
2.933,40.032,-2.244,-2.231,
2.967,39.583,-2.231,-2.239,
3,39.206,-2.201,-2.22,
3.033,38.819,-2.156,-2.201,
3.067,38.337,-2.086,-2.174,
3.1,37.735,-2.01,-2.151,
3.133,36.918,-1.968,-2.104,
3.167,36.035,-1.98,-2.035,
3.2,35.108,-2.025,-1.906,
3.233,34.087,-2.069,-1.825,
3.267,33.072,-2.15,-1.871,
3.3,32.163,-2.253,-1.891,
3.333,31.297,-2.381,-1.813,
3.367,30.406,-2.526,-1.776,
3.4,29.461,-2.676,-1.832,
3.433,28.567,-2.85,-1.926,
3.467,27.668,-3.065,-2,
3.5,26.74,-3.262,-2.129,
3.533,25.898,-3.433,-2.118,
3.567,24.99,-3.573,-2.077,
3.6,24.137,-3.693,-2.034,
3.633,23.286,-3.808,-1.918,
3.667,22.374,-3.914,-1.79,
3.7,21.377,-3.985,-1.694,
3.733,20.274,-4.035,-1.624,
3.767,19.129,-4.079,-1.576,
3.8,17.987,-4.142,-1.493,
3.833,16.723,-4.224,-1.524,
3.867,15.257,-4.329,-1.675,
3.9,13.653,-4.424,-1.772,
3.933,11.905,-4.517,-1.884,
3.967,10.301,-4.577,-1.734,
