Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-16.389,-0.064,7.747,
0.033,-16.377,-0.064,7.758,
0.067,-16.363,-0.064,7.771,
0.1,-16.346,-0.065,7.782,
0.133,-16.311,-0.067,7.786,
0.167,-16.269,-0.07,7.79,
0.2,-16.242,-0.068,7.797,
0.233,-16.221,-0.072,7.801,
0.267,-16.193,-0.085,7.802,
0.3,-16.164,-0.094,7.807,
0.333,-16.129,-0.095,7.815,
0.367,-16.08,-0.097,7.82,
0.4,-16.006,-0.099,7.816,
0.433,-15.903,-0.102,7.832,
0.467,-15.817,-0.108,7.844,
0.5,-15.812,-0.104,7.856,
0.533,-15.811,-0.099,7.858,
0.567,-15.814,-0.105,7.839,
0.6,-15.801,-0.12,7.816,
0.633,-15.775,-0.134,7.804,
0.667,-15.763,-0.141,7.815,
0.7,-15.754,-0.145,7.831,
0.733,-15.746,-0.152,7.838,
0.767,-15.729,-0.155,7.839,
0.8,-15.698,-0.158,7.843,
0.833,-15.664,-0.164,7.841,
0.867,-15.623,-0.171,7.842,
0.9,-15.578,-0.183,7.84,
0.933,-15.544,-0.191,7.841,
0.967,-15.506,-0.2,7.843,
1,-15.453,-0.219,7.839,
1.033,-15.371,-0.244,7.838,
1.067,-15.272,-0.261,7.845,
1.1,-15.166,-0.276,7.856,
1.133,-15.016,-0.296,7.861,
1.167,-14.83,-0.321,7.857,
1.2,-14.664,-0.346,7.854,
1.233,-14.566,-0.365,7.853,
1.267,-14.508,-0.373,7.86,
1.3,-14.458,-0.39,7.849,
1.333,-14.364,-0.418,7.83,
1.367,-14.233,-0.444,7.825,
1.4,-14.117,-0.461,7.837,
1.433,-14.035,-0.474,7.849,
1.467,-13.951,-0.493,7.856,
1.5,-13.894,-0.512,7.874,
1.533,-13.855,-0.528,7.893,
1.567,-13.831,-0.535,7.912,
1.6,-13.831,-0.53,7.936,
1.633,-13.834,-0.522,7.962,
1.667,-13.837,-0.512,7.981,
1.7,-13.851,-0.504,7.993,
1.733,-13.867,-0.5,8.009,
1.767,-13.907,-0.495,8.029,
1.8,-13.956,-0.48,8.049,
1.833,-14.002,-0.453,8.087,
1.867,-14.061,-0.423,8.108,
1.9,-14.131,-0.396,8.114,
1.933,-14.216,-0.373,8.14,
1.967,-14.31,-0.345,8.14,
2,-14.48,-0.301,8.145,
2.033,-14.691,-0.259,8.152,
2.067,-14.9,-0.232,8.143,
2.1,-15.059,-0.214,8.125,
2.133,-15.183,-0.197,8.11,
2.167,-15.317,-0.177,8.107,
2.2,-15.427,-0.157,8.107,
2.233,-15.513,-0.138,8.102,
