Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-1.935,0.826,-5.65,
0.01,-1.938,0.826,-5.649,
0.02,-1.943,0.828,-5.648,
0.03,-1.947,0.829,-5.646,
0.04,-1.952,0.831,-5.643,
0.05,-1.956,0.832,-5.64,
0.06,-1.961,0.834,-5.636,
0.07,-1.966,0.836,-5.633,
0.08,-1.971,0.839,-5.63,
0.09,-1.978,0.841,-5.628,
0.1,-1.985,0.843,-5.626,
0.11,-1.994,0.846,-5.625,
0.12,-2.003,0.849,-5.625,
0.13,-2.014,0.852,-5.624,
0.14,-2.027,0.855,-5.623,
0.15,-2.039,0.858,-5.622,
0.16,-2.052,0.86,-5.621,
0.17,-2.065,0.862,-5.621,
0.18,-2.078,0.863,-5.621,
0.19,-2.09,0.863,-5.622,
0.2,-2.101,0.864,-5.624,
0.21,-2.113,0.863,-5.627,
0.22,-2.125,0.863,-5.63,
0.23,-2.138,0.863,-5.632,
0.24,-2.151,0.864,-5.634,
0.25,-2.164,0.864,-5.636,
0.26,-2.177,0.865,-5.637,
0.27,-2.189,0.865,-5.639,
0.28,-2.201,0.866,-5.64,
0.29,-2.21,0.866,-5.641,
0.3,-2.219,0.867,-5.642,
0.31,-2.226,0.867,-5.643,
0.32,-2.232,0.868,-5.644,
0.33,-2.237,0.87,-5.644,
0.34,-2.243,0.871,-5.644,
0.35,-2.25,0.872,-5.644,
0.36,-2.257,0.873,-5.643,
0.37,-2.265,0.874,-5.643,
0.38,-2.273,0.875,-5.642,
0.39,-2.28,0.875,-5.641,
0.4,-2.286,0.875,-5.64,
0.41,-2.291,0.875,-5.639,
0.42,-2.294,0.875,-5.637,
0.43,-2.294,0.874,-5.636,
0.44,-2.293,0.874,-5.635,
0.45,-2.291,0.873,-5.635,
0.46,-2.288,0.872,-5.636,
0.47,-2.284,0.872,-5.638,
0.48,-2.28,0.871,-5.641,
0.49,-2.276,0.871,-5.643,
0.5,-2.271,0.87,-5.646,
0.51,-2.266,0.87,-5.647,
0.52,-2.262,0.87,-5.649,
0.53,-2.261,0.869,-5.652,
0.54,-2.265,0.868,-5.655,
0.55,-2.274,0.867,-5.659,
0.56,-2.29,0.866,-5.661,
0.57,-2.308,0.866,-5.663,
0.58,-2.325,0.866,-5.664,
0.59,-2.339,0.867,-5.665,
0.6,-2.348,0.868,-5.667,
0.61,-2.352,0.869,-5.671,
0.62,-2.354,0.87,-5.676,
0.63,-2.355,0.87,-5.682,
0.64,-2.357,0.871,-5.688,
0.65,-2.362,0.873,-5.693,
0.66,-2.368,0.875,-5.698,
0.67,-2.376,0.877,-5.7,
0.68,-2.384,0.88,-5.702,
0.69,-2.392,0.883,-5.703,
0.7,-2.399,0.886,-5.703,
0.71,-2.405,0.889,-5.702,
0.72,-2.41,0.892,-5.701,
0.73,-2.414,0.895,-5.7,
0.74,-2.416,0.898,-5.699,
0.75,-2.418,0.901,-5.698,
0.76,-2.418,0.904,-5.697,
0.77,-2.418,0.907,-5.698,
0.78,-2.418,0.91,-5.7,
0.79,-2.419,0.912,-5.702,
0.8,-2.422,0.915,-5.706,
0.81,-2.426,0.918,-5.71,
0.82,-2.431,0.92,-5.714,
0.83,-2.436,0.921,-5.718,
0.84,-2.44,0.922,-5.723,
0.85,-2.443,0.923,-5.727,
0.86,-2.445,0.923,-5.732,
0.87,-2.446,0.923,-5.736,
0.88,-2.447,0.923,-5.74,
0.89,-2.448,0.923,-5.742,
0.9,-2.449,0.924,-5.744,
0.91,-2.451,0.925,-5.745,
0.92,-2.453,0.926,-5.745,
0.93,-2.455,0.927,-5.745,
0.94,-2.458,0.927,-5.745,
0.95,-2.461,0.928,-5.745,
0.96,-2.464,0.928,-5.745,
0.97,-2.467,0.928,-5.746,
0.98,-2.47,0.927,-5.748,
0.99,-2.473,0.927,-5.749,
1,-2.476,0.927,-5.75,
1.01,-2.479,0.927,-5.751,
1.02,-2.481,0.927,-5.753,
1.03,-2.484,0.926,-5.754,
1.04,-2.486,0.926,-5.756,
1.05,-2.488,0.925,-5.758,
1.06,-2.49,0.924,-5.76,
1.07,-2.491,0.923,-5.763,
1.08,-2.493,0.923,-5.765,
1.09,-2.495,0.923,-5.766,
1.1,-2.497,0.923,-5.768,
1.11,-2.5,0.923,-5.769,
1.12,-2.502,0.924,-5.77,
1.13,-2.506,0.924,-5.772,
1.14,-2.509,0.923,-5.774,
1.15,-2.512,0.923,-5.777,
1.16,-2.514,0.923,-5.781,
1.17,-2.515,0.922,-5.784,
1.18,-2.515,0.922,-5.787,
1.19,-2.514,0.922,-5.79,
1.2,-2.513,0.922,-5.792,
1.21,-2.512,0.922,-5.796,
1.22,-2.515,0.921,-5.8,
1.23,-2.523,0.921,-5.805,
1.24,-2.538,0.922,-5.809,
1.25,-2.558,0.923,-5.811,
1.26,-2.58,0.925,-5.811,
1.27,-2.602,0.928,-5.809,
1.28,-2.619,0.931,-5.808,
1.29,-2.632,0.934,-5.808,
1.3,-2.642,0.936,-5.81,
1.31,-2.648,0.938,-5.815,
1.32,-2.655,0.938,-5.823,
1.33,-2.662,0.939,-5.832,
1.34,-2.671,0.94,-5.841,
1.35,-2.681,0.942,-5.849,
1.36,-2.691,0.945,-5.857,
1.37,-2.702,0.95,-5.862,
1.38,-2.712,0.955,-5.867,
1.39,-2.723,0.961,-5.87,
1.4,-2.732,0.968,-5.872,
1.41,-2.742,0.975,-5.872,
1.42,-2.752,0.982,-5.872,
1.43,-2.761,0.989,-5.87,
1.44,-2.771,0.996,-5.868,
1.45,-2.781,1.002,-5.866,
1.46,-2.792,1.008,-5.865,
1.47,-2.803,1.014,-5.864,
1.48,-2.816,1.019,-5.863,
