Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.008,0.229,0.003,
0.033,-0.008,0.229,0.003,
0.067,-0.008,0.229,0.003,
0.1,-0.009,0.229,0.003,
0.133,-0.009,0.229,0.004,
0.167,-0.008,0.229,0.004,
0.2,-0.009,0.229,0.004,
0.233,-0.009,0.229,0.004,
0.267,-0.009,0.229,0.004,
0.3,-0.009,0.229,0.004,
0.333,-0.009,0.229,0.004,
0.367,-0.009,0.229,0.004,
0.4,-0.009,0.229,0.004,
0.433,-0.009,0.229,0.004,
0.467,-0.009,0.229,0.003,
0.5,-0.009,0.229,0.003,
0.533,-0.009,0.229,0.003,
0.567,-0.009,0.229,0.003,
0.6,-0.009,0.229,0.003,
0.633,-0.009,0.229,0.003,
0.667,-0.009,0.229,0.003,
0.7,-0.01,0.229,0.003,
0.733,-0.01,0.229,0.004,
0.767,-0.01,0.229,0.004,
0.8,-0.01,0.229,0.004,
0.833,-0.01,0.229,0.004,
0.867,-0.01,0.229,0.004,
0.9,-0.01,0.229,0.004,
0.933,-0.01,0.229,0.005,
0.967,-0.01,0.229,0.005,
1,-0.01,0.229,0.005,
1.033,-0.01,0.229,0.006,
1.067,-0.01,0.229,0.007,
1.1,-0.01,0.229,0.007,
1.133,-0.01,0.229,0.008,
1.167,-0.01,0.229,0.009,
1.2,-0.009,0.229,0.01,
1.233,-0.009,0.228,0.012,
1.267,-0.009,0.228,0.013,
1.3,-0.009,0.228,0.014,
1.333,-0.008,0.228,0.015,
1.367,-0.007,0.228,0.016,
1.4,-0.006,0.228,0.017,
1.433,-0.005,0.228,0.018,
1.467,-0.004,0.228,0.019,
1.5,-0.003,0.228,0.021,
1.533,-0.002,0.228,0.022,
1.567,-0.001,0.228,0.023,
1.6,0.001,0.228,0.025,
1.633,0.002,0.227,0.026,
1.667,0.003,0.227,0.027,
1.7,0.005,0.227,0.028,
1.733,0.007,0.227,0.03,
1.767,0.008,0.227,0.031,
1.8,0.01,0.226,0.032,
1.833,0.012,0.226,0.032,
1.867,0.014,0.226,0.033,
1.9,0.016,0.226,0.034,
1.933,0.018,0.225,0.034,
1.967,0.019,0.225,0.035,
2,0.021,0.225,0.036,
2.033,0.022,0.225,0.036,
2.067,0.023,0.224,0.037,
2.1,0.024,0.224,0.037,
2.133,0.025,0.224,0.038,
2.167,0.026,0.224,0.038,
2.2,0.027,0.224,0.039,
2.233,0.028,0.224,0.039,
2.267,0.029,0.223,0.039,
2.3,0.03,0.223,0.04,
2.333,0.03,0.223,0.04,
2.367,0.03,0.223,0.04,
2.4,0.03,0.223,0.04,
2.433,0.029,0.223,0.039,
2.467,0.029,0.223,0.039,
2.5,0.029,0.224,0.038,
2.533,0.028,0.224,0.038,
2.567,0.027,0.224,0.037,
2.6,0.026,0.224,0.036,
2.633,0.025,0.225,0.035,
2.667,0.024,0.225,0.035,
2.7,0.023,0.225,0.035,
2.733,0.022,0.225,0.034,
2.767,0.02,0.226,0.034,
2.8,0.019,0.226,0.033,
2.833,0.018,0.226,0.033,
2.867,0.016,0.226,0.033,
2.9,0.015,0.226,0.033,
2.933,0.013,0.226,0.032,
2.967,0.012,0.227,0.032,
3,0.01,0.227,0.032,
3.033,0.009,0.227,0.032,
3.067,0.008,0.227,0.033,
3.1,0.007,0.227,0.033,
3.133,0.005,0.226,0.034,
3.167,0.004,0.226,0.035,
3.2,0.002,0.226,0.035,
3.233,0,0.226,0.035,
3.267,-0.002,0.226,0.035,
3.3,-0.003,0.226,0.035,
3.333,-0.005,0.226,0.035,
3.367,-0.006,0.226,0.035,
3.4,-0.008,0.226,0.036,
3.433,-0.009,0.226,0.036,
3.467,-0.01,0.226,0.036,
3.5,-0.012,0.226,0.036,
3.533,-0.013,0.225,0.037,
3.567,-0.015,0.225,0.037,
3.6,-0.016,0.225,0.037,
3.633,-0.017,0.225,0.038,
3.667,-0.019,0.225,0.038,
3.7,-0.02,0.224,0.038,
3.733,-0.021,0.224,0.038,
3.767,-0.023,0.224,0.039,
3.8,-0.024,0.224,0.04,
3.833,-0.025,0.223,0.041,
3.867,-0.026,0.223,0.042,
3.9,-0.028,0.223,0.043,
3.933,-0.029,0.222,0.044,
3.967,-0.03,0.222,0.044,
4,-0.031,0.222,0.045,
4.033,-0.032,0.221,0.045,
4.067,-0.033,0.221,0.046,
4.1,-0.033,0.221,0.046,
4.133,-0.034,0.221,0.048,
4.167,-0.034,0.22,0.049,
4.2,-0.034,0.22,0.051,
4.233,-0.034,0.22,0.052,
4.267,-0.034,0.22,0.053,
4.3,-0.033,0.22,0.053,
4.333,-0.033,0.22,0.053,
4.367,-0.033,0.22,0.053,
4.4,-0.032,0.22,0.052,
4.433,-0.031,0.22,0.051,
4.467,-0.031,0.221,0.049,
4.5,-0.03,0.222,0.047,
4.533,-0.029,0.222,0.045,
4.567,-0.028,0.223,0.043,
4.6,-0.027,0.223,0.042,
4.633,-0.026,0.224,0.039,
4.667,-0.025,0.224,0.037,
4.7,-0.024,0.225,0.035,
4.733,-0.023,0.225,0.032,
4.767,-0.022,0.226,0.028,
4.8,-0.02,0.226,0.025,
4.833,-0.019,0.227,0.021,
4.867,-0.018,0.227,0.019,
4.9,-0.017,0.227,0.016,
4.933,-0.016,0.228,0.013,
4.967,-0.015,0.228,0.01,
5,-0.014,0.228,0.007,
5.033,-0.013,0.228,0.004,
5.067,-0.013,0.228,0.001,
5.1,-0.012,0.228,-0.002,
5.133,-0.012,0.228,-0.004,
5.167,-0.011,0.228,-0.006,
5.2,-0.01,0.228,-0.009,
5.233,-0.01,0.228,-0.011,
5.267,-0.009,0.228,-0.014,
5.3,-0.008,0.228,-0.018,
5.333,-0.007,0.228,-0.021,
5.367,-0.006,0.227,-0.024,
5.4,-0.006,0.227,-0.027,
5.433,-0.005,0.227,-0.031,
5.467,-0.005,0.226,-0.034,
5.5,-0.005,0.226,-0.036,
5.533,-0.005,0.225,-0.039,
5.567,-0.005,0.225,-0.042,
5.6,-0.005,0.224,-0.045,
5.633,-0.004,0.224,-0.049,
5.667,-0.004,0.223,-0.053,
5.7,-0.004,0.222,-0.057,
5.733,-0.004,0.221,-0.061,
5.767,-0.004,0.22,-0.064,
5.8,-0.004,0.219,-0.067,
5.833,-0.005,0.218,-0.069,
5.867,-0.005,0.218,-0.071,
5.9,-0.005,0.217,-0.073,
5.933,-0.005,0.217,-0.074,
5.967,-0.005,0.216,-0.075,
6,-0.006,0.216,-0.076,
6.033,-0.006,0.216,-0.077,
6.067,-0.007,0.216,-0.077,
6.1,-0.007,0.215,-0.078,
6.133,-0.008,0.216,-0.077,
6.167,-0.009,0.216,-0.077,
6.2,-0.01,0.216,-0.076,
6.233,-0.011,0.216,-0.074,
6.267,-0.012,0.217,-0.072,
6.3,-0.013,0.218,-0.07,
6.333,-0.015,0.218,-0.068,
6.367,-0.016,0.219,-0.066,
6.4,-0.018,0.219,-0.064,
6.433,-0.019,0.22,-0.062,
6.467,-0.021,0.22,-0.06,
6.5,-0.023,0.22,-0.059,
6.533,-0.026,0.22,-0.058,
6.567,-0.028,0.22,-0.058,
6.6,-0.031,0.219,-0.058,
6.633,-0.034,0.219,-0.058,
6.667,-0.037,0.218,-0.059,
6.7,-0.04,0.218,-0.059,
