Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-2.608,-0.016,4.379,
0.033,-2.632,-0.01,4.406,
0.067,-2.66,-0.002,4.439,
0.1,-2.684,0.005,4.466,
0.133,-2.684,0.009,4.475,
0.167,-2.67,0.015,4.496,
0.2,-2.683,0.026,4.505,
0.233,-2.726,0.044,4.491,
0.267,-2.765,0.062,4.49,
0.3,-2.797,0.069,4.485,
0.333,-2.827,0.074,4.475,
0.367,-2.89,0.076,4.474,
0.4,-2.97,0.082,4.474,
0.433,-3.036,0.089,4.487,
0.467,-3.117,0.095,4.496,
0.5,-3.173,0.095,4.502,
0.533,-3.182,0.095,4.522,
0.567,-3.175,0.094,4.565,
0.6,-3.15,0.088,4.587,
0.633,-3.182,0.089,4.6,
0.667,-3.242,0.095,4.616,
0.7,-3.284,0.1,4.61,
0.733,-3.335,0.107,4.574,
0.767,-3.457,0.133,4.528,
0.8,-3.545,0.167,4.495,
0.833,-3.578,0.18,4.491,
0.867,-3.583,0.191,4.48,
0.9,-3.645,0.229,4.483,
0.933,-3.748,0.269,4.504,
0.967,-3.831,0.297,4.527,
1,-3.873,0.31,4.568,
1.033,-3.911,0.312,4.612,
1.067,-3.892,0.307,4.643,
1.1,-3.78,0.309,4.676,
1.133,-3.6,0.323,4.72,
1.167,-3.384,0.334,4.759,
1.2,-3.172,0.344,4.769,
1.233,-2.924,0.424,4.734,
1.267,-2.683,0.598,4.732,
1.3,-2.56,0.821,4.767,
1.333,-2.49,1.056,4.818,
1.367,-2.36,1.288,4.938,
1.4,-2.094,1.481,5.062,
1.433,-1.816,1.647,5.129,
1.467,-1.493,1.761,5.122,
1.5,-1.16,1.814,5.079,
1.533,-0.822,1.739,5.061,
1.567,-0.514,1.591,5.039,
1.6,-0.235,1.401,5.019,
1.633,0.016,1.198,5.005,
1.667,0.283,0.997,5.004,
1.7,0.617,0.772,5.029,
1.733,0.841,0.56,5.139,
1.767,0.98,0.414,5.219,
1.8,0.991,0.286,5.289,
1.833,0.896,0.109,5.414,
1.867,0.901,-0.146,5.567,
1.9,0.969,-0.412,5.671,
1.933,0.993,-0.69,5.73,
1.967,1.035,-1.003,5.718,
2,1.156,-1.343,5.723,
2.033,1.297,-1.655,5.76,
2.067,1.372,-1.918,5.793,
2.1,1.464,-2.128,5.827,
2.133,1.672,-2.275,5.858,
2.167,1.924,-2.371,5.843,
