Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
5.3,-61.077,-8.612,-4.389,
5.333,-59.638,-8.409,-4.187,
5.367,-57.94,-8.244,-4.004,
5.4,-56.153,-8.113,-3.841,
5.433,-54.34,-7.969,-3.74,
5.467,-52.33,-7.875,-3.698,
5.5,-50.271,-7.863,-3.656,
5.533,-48.512,-7.905,-3.531,
5.567,-46.699,-7.95,-3.347,
5.6,-44.536,-7.988,-3.223,
5.633,-42.135,-7.954,-3.267,
5.667,-39.815,-7.782,-3.381,
5.7,-37.674,-7.473,-3.728,
5.733,-35.676,-7.061,-4.059,
5.767,-33.65,-6.622,-4.027,
5.8,-31.618,-6.212,-3.764,
5.833,-29.44,-5.815,-3.609,
5.867,-27.065,-5.362,-3.764,
5.9,-24.549,-4.956,-3.95,
5.933,-21.849,-4.588,-4.086,
5.967,-19.436,-4.224,-4.14,
6,-17.492,-3.858,-4.105,
6.033,-15.921,-3.468,-4.011,
6.067,-14.542,-3.073,-3.819,
6.1,-13.223,-2.759,-3.606,
6.133,-11.983,-2.564,-3.492,
6.167,-10.877,-2.353,-3.465,
6.2,-9.913,-2.137,-3.471,
6.233,-9.117,-1.973,-3.47,
6.267,-8.229,-1.845,-3.448,
6.3,-7.402,-1.748,-3.443,
6.333,-6.55,-1.646,-3.478,
6.367,-5.172,-1.667,-3.407,
6.4,-3.012,-1.928,-3.171,
6.433,-1.083,-2.154,-3.088,
6.467,0.061,-2.218,-3.039,
6.5,0.845,-2.252,-2.986,
6.533,1.475,-2.297,-2.958,
6.567,1.732,-2.29,-2.97,
6.6,1.772,-2.229,-2.956,
6.633,1.886,-2.182,-2.978,
6.667,2.005,-2.123,-3.051,
6.7,2.137,-2.09,-3.066,
6.733,2.196,-2.096,-3.134,
6.767,2.273,-2.108,-3.178,
6.8,2.41,-2.111,-3.191,
6.833,2.472,-2.081,-3.175,
6.867,2.452,-2.046,-3.109,
6.9,2.413,-1.972,-3.022,
6.933,2.395,-1.856,-2.917,
6.967,2.406,-1.754,-2.807,
7,2.396,-1.698,-2.748,
7.033,2.333,-1.666,-2.728,
7.067,2.214,-1.645,-2.751,
7.1,2.133,-1.682,-2.872,
7.133,1.962,-1.713,-2.95,
7.167,1.928,-1.721,-2.996,
7.2,1.883,-1.736,-3.064,
7.233,1.664,-1.798,-3.199,
7.267,1.452,-1.85,-3.4,
7.3,1.255,-1.869,-3.56,
7.333,1.149,-1.879,-3.67,
7.367,1.152,-1.909,-3.75,
7.4,1.105,-1.924,-3.812,
7.433,1.056,-1.921,-3.779,
7.467,0.932,-1.933,-3.723,
7.5,0.771,-1.938,-3.713,
7.533,0.561,-1.929,-3.673,
7.567,0.251,-1.912,-3.594,
7.6,-0.084,-1.911,-3.528,
7.633,-0.386,-1.937,-3.53,
7.667,-0.679,-1.962,-3.552,
7.7,-1.029,-1.998,-3.588,
7.733,-1.408,-2.07,-3.614,
7.767,-1.923,-2.195,-3.66,
7.8,-2.631,-2.308,-3.738,
7.833,-3.572,-2.378,-3.76,
7.867,-4.479,-2.435,-3.764,
7.9,-5.442,-2.394,-3.762,
7.933,-6.429,-2.312,-3.789,
7.967,-7.397,-2.252,-3.857,
8,-8.251,-2.256,-3.978,
8.033,-9.12,-2.325,-4.158,
8.067,-10.092,-2.397,-4.387,
8.1,-11.031,-2.499,-4.588,
8.133,-12.053,-2.666,-4.747,
8.167,-13.089,-2.876,-4.924,
8.2,-14.104,-3.109,-4.99,
8.233,-15.177,-3.336,-4.935,
8.267,-16.301,-3.545,-4.922,
8.3,-17.538,-3.805,-4.965,
8.333,-18.74,-4.005,-4.871,
8.367,-19.849,-4.104,-4.656,
8.4,-20.874,-4.2,-4.458,
8.433,-21.889,-4.298,-4.234,
8.467,-22.957,-4.308,-4.044,
8.5,-24.083,-4.235,-3.802,
8.533,-25.267,-4.176,-3.395,
8.567,-26.29,-4.141,-2.96,
8.6,-27.381,-4.123,-2.373,
8.633,-28.312,-4.184,-1.851,
8.667,-29.094,-4.282,-1.315,
8.7,-29.954,-4.415,-0.944,
8.733,-30.638,-4.585,-0.7,
8.767,-31.188,-4.805,-0.536,
8.8,-31.702,-5.007,-0.555,
8.833,-32.326,-5.136,-0.661,
8.867,-33.044,-5.242,-0.712,
8.9,-33.833,-5.342,-0.777,
8.933,-34.732,-5.418,-0.833,
8.967,-35.576,-5.412,-0.909,
9,-36.315,-5.389,-1.051,
9.033,-36.958,-5.403,-1.255,
9.067,-37.516,-5.46,-1.458,
9.1,-37.981,-5.535,-1.705,
9.133,-38.448,-5.597,-1.886,
9.167,-38.891,-5.633,-2.089,
9.2,-39.237,-5.669,-2.353,
9.233,-39.483,-5.713,-2.613,
9.267,-39.709,-5.736,-2.833,
9.3,-39.894,-5.728,-3.104,
9.333,-40.036,-5.699,-3.406,
9.367,-40.181,-5.678,-3.627,
9.4,-40.41,-5.66,-3.866,
9.433,-40.549,-5.613,-3.985,
9.467,-40.787,-5.565,-4.073,
9.5,-40.929,-5.518,-4.146,
9.533,-40.961,-5.481,-4.171,
9.567,-41.004,-5.462,-4.204,
9.6,-41.038,-5.457,-4.261,
9.633,-41.05,-5.483,-4.322,
9.667,-41.043,-5.534,-4.345,
9.7,-41.004,-5.605,-4.296,
9.733,-40.951,-5.673,-4.332,
9.767,-40.874,-5.713,-4.416,
9.8,-40.722,-5.726,-4.483,
9.833,-40.552,-5.726,-4.505,
9.867,-40.376,-5.731,-4.503,
9.9,-40.215,-5.746,-4.528,
9.933,-40.003,-5.77,-4.552,
